algorithm,hits,hr,time,train_size,test_size,test_interactions
ALS,66,0.11243611584327087,0.2275536060333252,0.6,0.1,587
BPR,39,0.06643952299829642,0.2619197368621826,0.6,0.1,587
LinUCB - non-incremental - ALS embeddings,43,0.07325383304940375,0.10852193832397461,0.6,0.1,587
LinUCB - non-incremental - BPR embeddings,39,0.06643952299829642,0.118865966796875,0.6,0.1,587
LinUCB - incremental - ALS embeddings,42,0.07155025553662692,15.878368616104126,0.6,0.1,587
LinUCB - incremental - BPR embeddings,39,0.06643952299829642,15.81147575378418,0.6,0.1,587
LinGreedy - non-incremental - ALS embeddings,45,0.07666098807495741,0.08440279960632324,0.6,0.1,587
LinGreedy - non-incremental - BPR embeddings,41,0.06984667802385008,0.08478665351867676,0.6,0.1,587
LinGreedy - incremental - ALS embeddings,44,0.07495741056218058,16.28467106819153,0.6,0.1,587
LinGreedy - incremental - BPR embeddings,39,0.06643952299829642,15.35175633430481,0.6,0.1,587
ALS,69,0.11754684838160136,0.24291706085205078,0.7,0.1,587
BPR,41,0.06984667802385008,0.45638132095336914,0.7,0.1,587
LinUCB - non-incremental - ALS embeddings,44,0.07495741056218058,0.18249773979187012,0.7,0.1,587
LinUCB - non-incremental - BPR embeddings,36,0.06132879045996593,0.17862486839294434,0.7,0.1,587
LinUCB - incremental - ALS embeddings,41,0.06984667802385008,21.92693567276001,0.7,0.1,587
LinUCB - incremental - BPR embeddings,38,0.06473594548551959,15.384013652801514,0.7,0.1,587
LinGreedy - non-incremental - ALS embeddings,47,0.08006814310051108,0.08516240119934082,0.7,0.1,587
LinGreedy - non-incremental - BPR embeddings,37,0.06303236797274275,0.0948646068572998,0.7,0.1,587
LinGreedy - incremental - ALS embeddings,43,0.07325383304940375,16.048800230026245,0.7,0.1,587
LinGreedy - incremental - BPR embeddings,38,0.06473594548551959,15.151399612426758,0.7,0.1,587
ALS,70,0.11925042589437819,0.2426435947418213,0.8,0.1,587
BPR,41,0.06984667802385008,0.3892631530761719,0.8,0.1,587
LinUCB - non-incremental - ALS embeddings,44,0.07495741056218058,0.14580321311950684,0.8,0.1,587
LinUCB - non-incremental - BPR embeddings,33,0.056218057921635436,0.14211750030517578,0.8,0.1,587
LinUCB - incremental - ALS embeddings,45,0.07666098807495741,16.708662033081055,0.8,0.1,587
LinUCB - incremental - BPR embeddings,30,0.05110732538330494,16.199869871139526,0.8,0.1,587
LinGreedy - non-incremental - ALS embeddings,48,0.0817717206132879,0.0926058292388916,0.8,0.1,587
LinGreedy - non-incremental - BPR embeddings,34,0.05792163543441227,0.09031319618225098,0.8,0.1,587
LinGreedy - incremental - ALS embeddings,44,0.07495741056218058,15.103993654251099,0.8,0.1,587
LinGreedy - incremental - BPR embeddings,30,0.05110732538330494,15.651120662689209,0.8,0.1,587
ALS,76,0.12947189097103917,0.20293617248535156,0.9,0.1,587
BPR,39,0.06643952299829642,0.2301769256591797,0.9,0.1,587
LinUCB - non-incremental - ALS embeddings,48,0.0817717206132879,0.10872340202331543,0.9,0.1,587
LinUCB - non-incremental - BPR embeddings,35,0.059625212947189095,0.10718154907226562,0.9,0.1,587
LinUCB - incremental - ALS embeddings,44,0.07495741056218058,17.575862407684326,0.9,0.1,587
LinUCB - incremental - BPR embeddings,37,0.06303236797274275,17.007075548171997,0.9,0.1,587
LinGreedy - non-incremental - ALS embeddings,49,0.08347529812606473,0.1327962875366211,0.9,0.1,587
LinGreedy - non-incremental - BPR embeddings,36,0.06132879045996593,0.14987945556640625,0.9,0.1,587
LinGreedy - incremental - ALS embeddings,46,0.07836456558773425,13.924186706542969,0.9,0.1,587
LinGreedy - incremental - BPR embeddings,37,0.06303236797274275,14.014949321746826,0.9,0.1,587
ALS,75,0.12776831345826234,0.2568352222442627,1.0,0.1,587
BPR,49,0.08347529812606473,0.26889753341674805,1.0,0.1,587
LinUCB - non-incremental - ALS embeddings,51,0.0868824531516184,0.12699460983276367,1.0,0.1,587
LinUCB - non-incremental - BPR embeddings,38,0.06473594548551959,0.12383151054382324,1.0,0.1,587
LinUCB - incremental - ALS embeddings,49,0.08347529812606473,14.798352479934692,1.0,0.1,587
LinUCB - incremental - BPR embeddings,39,0.06643952299829642,14.68219780921936,1.0,0.1,587
LinGreedy - non-incremental - ALS embeddings,54,0.0919931856899489,0.12879514694213867,1.0,0.1,587
LinGreedy - non-incremental - BPR embeddings,38,0.06473594548551959,0.10623002052307129,1.0,0.1,587
LinGreedy - incremental - ALS embeddings,50,0.08517887563884156,13.956743001937866,1.0,0.1,587
LinGreedy - incremental - BPR embeddings,38,0.06473594548551959,13.76044774055481,1.0,0.1,587
