algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,1025,0.12364294330518698,3.4504518508911133,2,True,0.85,8290
ALS,910,0.1097708082026538,3.357907772064209,2,False,0.85,8290
BPR,610,0.0735826296743064,3.9357032775878906,2,True,0.85,8290
BPR,622,0.07503015681544029,3.826646327972412,2,False,0.85,8290
ALS,1023,0.12340168878166466,3.2168753147125244,4,True,0.85,8290
ALS,928,0.11194209891435464,3.4004909992218018,4,False,0.85,8290
BPR,600,0.07237635705669482,3.6347010135650635,4,True,0.85,8290
BPR,605,0.07297949336550061,3.551236867904663,4,False,0.85,8290
ALS,895,0.10796139927623644,3.3013956546783447,8,True,0.85,8290
ALS,846,0.10205066344993968,3.3974499702453613,8,False,0.85,8290
BPR,685,0.08262967430639324,3.5301566123962402,8,True,0.85,8290
BPR,685,0.08262967430639324,3.686129093170166,8,False,0.85,8290
ALS,826,0.09963811821471652,3.3102352619171143,16,True,0.85,8290
ALS,813,0.09806996381182147,3.45495343208313,16,False,0.85,8290
BPR,593,0.07153196622436671,3.7500171661376953,16,True,0.85,8290
BPR,594,0.07165259348612786,4.20858359336853,16,False,0.85,8290
ALS,757,0.09131483715319662,3.2981224060058594,32,True,0.85,8290
ALS,730,0.08805790108564536,3.266160726547241,32,False,0.85,8290
BPR,599,0.07225572979493365,3.557492256164551,32,True,0.85,8290
BPR,596,0.07189384800965018,3.8506481647491455,32,False,0.85,8290
ALS,618,0.07454764776839566,5.0867087841033936,64,True,0.85,8290
ALS,600,0.07237635705669482,5.5069310665130615,64,False,0.85,8290
BPR,780,0.09408926417370325,6.064791679382324,64,True,0.85,8290
BPR,780,0.09408926417370325,5.792227745056152,64,False,0.85,8290
ALS,391,0.047165259348612786,5.453980922698975,128,True,0.85,8290
ALS,323,0.03896260554885404,5.537046909332275,128,False,0.85,8290
BPR,499,0.06019300361881785,5.697110652923584,128,True,0.85,8290
BPR,507,0.061158021712907115,5.577865839004517,128,False,0.85,8290
ALS,675,0.08142340168878166,5.64440393447876,256,True,0.85,8290
ALS,521,0.06284680337756333,5.865042686462402,256,False,0.85,8290
BPR,674,0.08130277442702051,5.689981698989868,256,True,0.85,8290
BPR,656,0.07913148371531967,5.863056182861328,256,False,0.85,8290
ALS,658,0.07937273823884197,5.693669557571411,512,True,0.85,8290
ALS,506,0.061037394451145956,5.946109294891357,512,False,0.85,8290
BPR,576,0.06948130277442702,6.2215306758880615,512,True,0.85,8290
BPR,582,0.07020506634499397,5.499738454818726,512,False,0.85,8290
