algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,169,0.16203259827420902,0.6700558662414551,2,True,0.15,1043
ALS,207,0.1984659635666347,1.417790412902832,2,False,0.15,1043
BPR,168,0.1610738255033557,0.8386211395263672,2,True,0.15,1043
BPR,164,0.15723873441994246,0.8967924118041992,2,False,0.15,1043
ALS,191,0.18312559923298177,0.7047004699707031,4,True,0.15,1043
ALS,196,0.18791946308724833,0.9459800720214844,4,False,0.15,1043
BPR,149,0.14285714285714285,1.1663265228271484,4,True,0.15,1043
BPR,148,0.14189837008628955,0.9022455215454102,4,False,0.15,1043
ALS,206,0.1975071907957814,0.766118049621582,8,True,0.15,1043
ALS,205,0.1965484180249281,0.6980383396148682,8,False,0.15,1043
BPR,134,0.12847555129434324,1.1852836608886719,8,True,0.15,1043
BPR,135,0.12943432406519656,1.07344388961792,8,False,0.15,1043
ALS,197,0.18887823585810162,0.7244889736175537,16,True,0.15,1043
ALS,186,0.17833173537871524,0.7430465221405029,16,False,0.15,1043
BPR,142,0.1361457334611697,0.8268465995788574,16,True,0.15,1043
BPR,141,0.13518696069031638,0.9497959613800049,16,False,0.15,1043
ALS,160,0.15340364333652926,0.7362627983093262,32,True,0.15,1043
ALS,142,0.1361457334611697,0.5429468154907227,32,False,0.15,1043
BPR,156,0.14956855225311602,1.0886836051940918,32,True,0.15,1043
BPR,155,0.1486097794822627,1.6771917343139648,32,False,0.15,1043
ALS,96,0.09204218600191755,1.4738101959228516,64,True,0.15,1043
ALS,93,0.08916586768935762,0.9659769535064697,64,False,0.15,1043
BPR,145,0.13902205177372962,1.063124418258667,64,True,0.15,1043
BPR,146,0.13998082454458294,1.231004238128662,64,False,0.15,1043
ALS,56,0.053691275167785234,1.0900800228118896,128,True,0.15,1043
ALS,48,0.046021093000958774,0.717695951461792,128,False,0.15,1043
BPR,151,0.14477468839884947,0.9535820484161377,128,True,0.15,1043
BPR,149,0.14285714285714285,0.9616820812225342,128,False,0.15,1043
ALS,109,0.10450623202301054,1.3716912269592285,256,True,0.15,1043
ALS,96,0.09204218600191755,1.0357050895690918,256,False,0.15,1043
BPR,145,0.13902205177372962,1.3506779670715332,256,True,0.15,1043
BPR,145,0.13902205177372962,1.031792402267456,256,False,0.15,1043
ALS,110,0.10546500479386385,1.4007518291473389,512,True,0.15,1043
ALS,97,0.09300095877277086,1.1851015090942383,512,False,0.15,1043
BPR,152,0.1457334611697028,1.0049691200256348,512,True,0.15,1043
BPR,151,0.14477468839884947,0.9770479202270508,512,False,0.15,1043
