algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings,7,0.008333333333333333,1.4109935760498047,0.0,0.1,840
LinUCB - BPR embeddings,6,0.007142857142857143,1.326690912246704,0.0,0.1,840
LinGreedy - ALS embeddings,11,0.013095238095238096,0.7901930809020996,0.0,0.1,840
LinGreedy - BPR embeddings,6,0.007142857142857143,0.7189538478851318,0.0,0.1,840
LinUCB - ALS embeddings,5,0.005952380952380952,1.4208693504333496,0.1,0.1,840
LinUCB - BPR embeddings,7,0.008333333333333333,1.3369402885437012,0.1,0.1,840
LinGreedy - ALS embeddings,9,0.010714285714285714,0.6673507690429688,0.1,0.1,840
LinGreedy - BPR embeddings,7,0.008333333333333333,0.9981460571289062,0.1,0.1,840
LinUCB - ALS embeddings,5,0.005952380952380952,1.1411852836608887,0.2,0.1,840
LinUCB - BPR embeddings,8,0.009523809523809525,1.3253333568572998,0.2,0.1,840
LinGreedy - ALS embeddings,9,0.010714285714285714,0.7982931137084961,0.2,0.1,840
LinGreedy - BPR embeddings,9,0.010714285714285714,0.6861162185668945,0.2,0.1,840
LinUCB - ALS embeddings,6,0.007142857142857143,0.9510934352874756,0.3,0.1,840
LinUCB - BPR embeddings,7,0.008333333333333333,1.0524916648864746,0.3,0.1,840
LinGreedy - ALS embeddings,8,0.009523809523809525,0.6828162670135498,0.3,0.1,840
LinGreedy - BPR embeddings,9,0.010714285714285714,0.7065277099609375,0.3,0.1,840
LinUCB - ALS embeddings,6,0.007142857142857143,1.0126838684082031,0.4,0.1,840
LinUCB - BPR embeddings,4,0.004761904761904762,1.063143014907837,0.4,0.1,840
LinGreedy - ALS embeddings,10,0.011904761904761904,0.7092742919921875,0.4,0.1,840
LinGreedy - BPR embeddings,7,0.008333333333333333,0.6846649646759033,0.4,0.1,840
LinUCB - ALS embeddings,6,0.007142857142857143,1.1010453701019287,0.5,0.1,840
LinUCB - BPR embeddings,4,0.004761904761904762,1.0970406532287598,0.5,0.1,840
LinGreedy - ALS embeddings,8,0.009523809523809525,0.7049210071563721,0.5,0.1,840
LinGreedy - BPR embeddings,4,0.004761904761904762,0.736738920211792,0.5,0.1,840
LinUCB - ALS embeddings,5,0.005952380952380952,1.2763967514038086,0.6,0.1,840
LinUCB - BPR embeddings,6,0.007142857142857143,1.250673770904541,0.6,0.1,840
LinGreedy - ALS embeddings,7,0.008333333333333333,0.7685580253601074,0.6,0.1,840
LinGreedy - BPR embeddings,6,0.007142857142857143,0.8310937881469727,0.6,0.1,840
LinUCB - ALS embeddings,2,0.002380952380952381,0.9761829376220703,0.7,0.1,840
LinUCB - BPR embeddings,8,0.009523809523809525,1.3393080234527588,0.7,0.1,840
LinGreedy - ALS embeddings,10,0.011904761904761904,0.7476301193237305,0.7,0.1,840
LinGreedy - BPR embeddings,8,0.009523809523809525,0.8192191123962402,0.7,0.1,840
LinUCB - ALS embeddings,5,0.005952380952380952,0.9372117519378662,0.8,0.1,840
LinUCB - BPR embeddings,6,0.007142857142857143,1.6191401481628418,0.8,0.1,840
LinGreedy - ALS embeddings,10,0.011904761904761904,1.071681261062622,0.8,0.1,840
LinGreedy - BPR embeddings,8,0.009523809523809525,0.7947969436645508,0.8,0.1,840
LinUCB - ALS embeddings,4,0.004761904761904762,1.4188008308410645,0.9,0.1,840
LinUCB - BPR embeddings,4,0.004761904761904762,1.1262521743774414,0.9,0.1,840
LinGreedy - ALS embeddings,11,0.013095238095238096,0.7082021236419678,0.9,0.1,840
LinGreedy - BPR embeddings,6,0.007142857142857143,0.8457827568054199,0.9,0.1,840
LinUCB - ALS embeddings,3,0.0035714285714285713,0.9529592990875244,1.0,0.1,840
LinUCB - BPR embeddings,3,0.0035714285714285713,1.0661485195159912,1.0,0.1,840
LinGreedy - ALS embeddings,10,0.011904761904761904,0.7355606555938721,1.0,0.1,840
LinGreedy - BPR embeddings,6,0.007142857142857143,0.6815624237060547,1.0,0.1,840
ALS,261,0.3107142857142857,0.658743143081665,0.0,0.1,840
BPR,215,0.25595238095238093,0.8269994258880615,0.0,0.1,840
ALS,274,0.3261904761904762,0.6021356582641602,0.1,0.1,840
BPR,246,0.29285714285714287,0.5607049465179443,0.1,0.1,840
ALS,281,0.3345238095238095,0.7840044498443604,0.2,0.1,840
BPR,270,0.32142857142857145,0.7036228179931641,0.2,0.1,840
ALS,287,0.3416666666666667,0.49436020851135254,0.3,0.1,840
BPR,270,0.32142857142857145,0.5515494346618652,0.3,0.1,840
ALS,310,0.36904761904761907,0.5200529098510742,0.4,0.1,840
BPR,295,0.35119047619047616,0.5384714603424072,0.4,0.1,840
ALS,320,0.38095238095238093,0.48076653480529785,0.5,0.1,840
BPR,335,0.39880952380952384,0.5296792984008789,0.5,0.1,840
ALS,357,0.425,0.639458417892456,0.6,0.1,840
BPR,377,0.4488095238095238,0.6841640472412109,0.6,0.1,840
ALS,364,0.43333333333333335,0.48961901664733887,0.7,0.1,840
BPR,409,0.4869047619047619,0.5216515064239502,0.7,0.1,840
ALS,386,0.4595238095238095,0.4146897792816162,0.8,0.1,840
BPR,461,0.5488095238095239,0.5358242988586426,0.8,0.1,840
ALS,425,0.5059523809523809,0.4818887710571289,0.9,0.1,840
BPR,493,0.5869047619047619,0.5156252384185791,0.9,0.1,840
ALS,447,0.5321428571428571,0.6310000419616699,1.0,0.1,840
BPR,515,0.6130952380952381,0.4714806079864502,1.0,0.1,840
