algorithm,hits,hr,time,train_size,test_size,test_interactions
ALS,63,0.10732538330494037,0.24100589752197266,0.0,0.1,587
BPR,43,0.07325383304940375,0.2710387706756592,0.0,0.1,587
LinUCB - ALS embeddings,41,0.06984667802385008,0.14541411399841309,0.0,0.1,587
LinUCB - BPR embeddings,45,0.07666098807495741,0.12196803092956543,0.0,0.1,587
LinGreedy - ALS embeddings,43,0.07325383304940375,0.11998128890991211,0.0,0.1,587
LinGreedy - BPR embeddings,48,0.0817717206132879,0.12600922584533691,0.0,0.1,587
ALS,71,0.12095400340715502,0.21200060844421387,0.1,0.1,587
BPR,39,0.06643952299829642,0.2834293842315674,0.1,0.1,587
LinUCB - ALS embeddings,41,0.06984667802385008,0.12200140953063965,0.1,0.1,587
LinUCB - BPR embeddings,52,0.08858603066439523,0.11501049995422363,0.1,0.1,587
LinGreedy - ALS embeddings,44,0.07495741056218058,0.09999608993530273,0.1,0.1,587
LinGreedy - BPR embeddings,55,0.09369676320272573,0.09929013252258301,0.1,0.1,587
ALS,72,0.12265758091993186,0.2010033130645752,0.2,0.1,587
BPR,42,0.07155025553662692,0.28377223014831543,0.2,0.1,587
LinUCB - ALS embeddings,39,0.06643952299829642,0.11796116828918457,0.2,0.1,587
LinUCB - BPR embeddings,56,0.09540034071550256,0.11400079727172852,0.2,0.1,587
LinGreedy - ALS embeddings,44,0.07495741056218058,0.09800028800964355,0.2,0.1,587
LinGreedy - BPR embeddings,56,0.09540034071550256,0.09995889663696289,0.2,0.1,587
ALS,75,0.12776831345826234,0.2010021209716797,0.3,0.1,587
BPR,37,0.06303236797274275,0.2831766605377197,0.3,0.1,587
LinUCB - ALS embeddings,48,0.0817717206132879,0.11800003051757812,0.3,0.1,587
LinUCB - BPR embeddings,64,0.10902896081771721,0.11397409439086914,0.3,0.1,587
LinGreedy - ALS embeddings,49,0.08347529812606473,0.09900736808776855,0.3,0.1,587
LinGreedy - BPR embeddings,68,0.11584327086882454,0.09999465942382812,0.3,0.1,587
ALS,74,0.1260647359454855,0.1969609260559082,0.4,0.1,587
BPR,35,0.059625212947189095,0.25164294242858887,0.4,0.1,587
LinUCB - ALS embeddings,50,0.08517887563884156,0.11500692367553711,0.4,0.1,587
LinUCB - BPR embeddings,60,0.10221465076660988,0.11097073554992676,0.4,0.1,587
LinGreedy - ALS embeddings,56,0.09540034071550256,0.09803938865661621,0.4,0.1,587
LinGreedy - BPR embeddings,61,0.10391822827938671,0.0960078239440918,0.4,0.1,587
ALS,71,0.12095400340715502,0.2099916934967041,0.5,0.1,587
BPR,36,0.06132879045996593,0.2529630661010742,0.5,0.1,587
LinUCB - ALS embeddings,50,0.08517887563884156,0.11603736877441406,0.5,0.1,587
LinUCB - BPR embeddings,62,0.10562180579216354,0.10803890228271484,0.5,0.1,587
LinGreedy - ALS embeddings,52,0.08858603066439523,0.09400725364685059,0.5,0.1,587
LinGreedy - BPR embeddings,65,0.11073253833049404,0.10503411293029785,0.5,0.1,587
ALS,66,0.11243611584327087,0.2010030746459961,0.6,0.1,587
BPR,39,0.06643952299829642,0.252993106842041,0.6,0.1,587
LinUCB - ALS embeddings,58,0.09880749574105621,0.11495137214660645,0.6,0.1,587
LinUCB - BPR embeddings,69,0.11754684838160136,0.11403918266296387,0.6,0.1,587
LinGreedy - ALS embeddings,62,0.10562180579216354,0.09799551963806152,0.6,0.1,587
LinGreedy - BPR embeddings,75,0.12776831345826234,0.09600543975830078,0.6,0.1,587
ALS,69,0.11754684838160136,0.20200037956237793,0.7,0.1,587
BPR,41,0.06984667802385008,0.3050074577331543,0.7,0.1,587
LinUCB - ALS embeddings,57,0.09710391822827939,0.11497282981872559,0.7,0.1,587
LinUCB - BPR embeddings,75,0.12776831345826234,0.11099648475646973,0.7,0.1,587
LinGreedy - ALS embeddings,63,0.10732538330494037,0.09599947929382324,0.7,0.1,587
LinGreedy - BPR embeddings,80,0.1362862010221465,0.09396553039550781,0.7,0.1,587
ALS,70,0.11925042589437819,0.23848176002502441,0.8,0.1,587
BPR,41,0.06984667802385008,0.24000167846679688,0.8,0.1,587
LinUCB - ALS embeddings,61,0.10391822827938671,0.11604094505310059,0.8,0.1,587
LinUCB - BPR embeddings,69,0.11754684838160136,0.11396503448486328,0.8,0.1,587
LinGreedy - ALS embeddings,65,0.11073253833049404,0.0970003604888916,0.8,0.1,587
LinGreedy - BPR embeddings,74,0.1260647359454855,0.11249661445617676,0.8,0.1,587
ALS,76,0.12947189097103917,0.22104096412658691,0.9,0.1,587
BPR,39,0.06643952299829642,0.24900603294372559,0.9,0.1,587
LinUCB - ALS embeddings,64,0.10902896081771721,0.11301016807556152,0.9,0.1,587
LinUCB - BPR embeddings,73,0.12436115843270869,0.14650964736938477,0.9,0.1,587
LinGreedy - ALS embeddings,67,0.1141396933560477,0.10200786590576172,0.9,0.1,587
LinGreedy - BPR embeddings,73,0.12436115843270869,0.1110084056854248,0.9,0.1,587
ALS,75,0.12776831345826234,0.2044992446899414,1.0,0.1,587
BPR,49,0.08347529812606473,0.24771380424499512,1.0,0.1,587
LinUCB - ALS embeddings,65,0.11073253833049404,0.1310131549835205,1.0,0.1,587
LinUCB - BPR embeddings,73,0.12436115843270869,0.11699938774108887,1.0,0.1,587
LinGreedy - ALS embeddings,66,0.11243611584327087,0.10000920295715332,1.0,0.1,587
LinGreedy - BPR embeddings,76,0.12947189097103917,0.09400010108947754,1.0,0.1,587
