algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,973,0.16807738814993953,1.8790256977081299,,0.6,5789
LinUCB (non_incremental),390,0.06736914838486785,0.792884349822998,,0.6,5789
LinGreedy (non_incremental),465,0.08032475384349629,0.8044953346252441,,0.6,5789
LinUCB (incremental),473,0.08170668509241666,1342.6333103179932,1.0,0.6,5789
LinGreedy (incremental),546,0.094316807738815,1187.7858514785767,1.0,0.6,5789
LinUCB (incremental),475,0.08205216790464674,210.70215845108032,5.0,0.6,5789
LinGreedy (incremental),556,0.09604422179996545,200.3779354095459,5.0,0.6,5789
LinUCB (incremental),465,0.08032475384349629,112.93893766403198,10.0,0.6,5789
LinGreedy (incremental),549,0.09483503195716013,107.09305953979492,10.0,0.6,5789
LinUCB (incremental),435,0.07514251166004492,16.92565393447876,100.0,0.6,5789
LinGreedy (incremental),468,0.08084297806184142,16.31581974029541,100.0,0.6,5789
LinUCB (incremental),435,0.07514251166004492,3.7137808799743652,1000.0,0.6,5789
LinGreedy (incremental),489,0.08447054759025739,3.427367925643921,1000.0,0.6,5789
