algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,893,0.21236623067776456,1.8492491245269775,,0.45,4205
LinUCB (non_incremental),314,0.0746730083234245,0.9564976692199707,,0.45,4205
LinGreedy (non_incremental),354,0.08418549346016647,0.9105007648468018,,0.45,4205
LinUCB (incremental),373,0.0887039239001189,977.2910013198853,1.0,0.45,4205
LinGreedy (incremental),438,0.10416171224732461,746.31214427948,1.0,0.45,4205
LinUCB (incremental),380,0.09036860879904875,171.54166388511658,5.0,0.45,4205
LinGreedy (incremental),446,0.10606420927467301,173.99856662750244,5.0,0.45,4205
LinUCB (incremental),383,0.0910820451843044,93.52573537826538,10.0,0.45,4205
LinGreedy (incremental),448,0.1065398335315101,92.69307136535645,10.0,0.45,4205
LinUCB (incremental),337,0.08014268727705114,13.963961362838745,100.0,0.45,4205
LinGreedy (incremental),390,0.09274673008323424,13.746861457824707,100.0,0.45,4205
LinUCB (incremental),338,0.08038049940546968,2.8417983055114746,1000.0,0.45,4205
LinGreedy (incremental),371,0.08822829964328181,2.7358644008636475,1000.0,0.45,4205
