algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,969,0.14121247449723112,1.9627830982208252,,0.7,6862
LinUCB (non_incremental),353,0.05144272806761877,0.9866163730621338,,0.7,6862
LinGreedy (non_incremental),471,0.06863888079277179,0.8585336208343506,,0.7,6862
LinUCB (incremental),539,0.07854852812591082,1052.6509857177734,1.0,0.7,6862
LinGreedy (incremental),619,0.0902069367531332,1033.097704410553,1.0,0.7,6862
LinUCB (incremental),537,0.07825706791023025,245.18643379211426,5.0,0.7,6862
LinGreedy (incremental),613,0.08933255610609152,236.28915882110596,5.0,0.7,6862
LinUCB (incremental),533,0.07767414747886914,133.92020082473755,10.0,0.7,6862
LinGreedy (incremental),605,0.08816671524336928,122.47821760177612,10.0,0.7,6862
LinUCB (incremental),490,0.0714077528417371,19.247413635253906,100.0,0.7,6862
LinGreedy (incremental),585,0.08525211308656368,18.001058340072632,100.0,0.7,6862
LinUCB (incremental),469,0.06834742057709123,3.2272942066192627,1000.0,0.7,6862
LinGreedy (incremental),540,0.07869425823375109,2.9255809783935547,1000.0,0.7,6862
