algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,384,0.23940149625935161,0.6376316547393799,,0.2,1604
LinUCB (non_incremental),139,0.08665835411471322,0.3329908847808838,,0.2,1604
LinGreedy (non_incremental),140,0.08728179551122195,0.25736212730407715,,0.2,1604
LinUCB (incremental),151,0.09413965087281795,280.36687111854553,1.0,0.2,1604
LinGreedy (incremental),158,0.09850374064837905,254.14571022987366,1.0,0.2,1604
LinUCB (incremental),151,0.09413965087281795,58.463284730911255,5.0,0.2,1604
LinGreedy (incremental),160,0.09975062344139651,56.01257395744324,5.0,0.2,1604
LinUCB (incremental),153,0.09538653366583541,30.874118089675903,10.0,0.2,1604
LinGreedy (incremental),154,0.09600997506234414,34.001896381378174,10.0,0.2,1604
LinUCB (incremental),151,0.09413965087281795,6.054940223693848,100.0,0.2,1604
LinGreedy (incremental),164,0.10224438902743142,4.944324970245361,100.0,0.2,1604
LinUCB (incremental),131,0.0816708229426434,0.8398492336273193,1000.0,0.2,1604
LinGreedy (incremental),140,0.08728179551122195,0.7339856624603271,1000.0,0.2,1604
