algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,809,0.2197772344471611,1.2711477279663086,,0.4,3681
LinUCB (non_incremental),270,0.07334963325183375,0.6292910575866699,,0.4,3681
LinGreedy (non_incremental),299,0.08122792719369737,0.5194721221923828,,0.4,3681
LinUCB (incremental),337,0.09155120891062211,597.9753317832947,1.0,0.4,3681
LinGreedy (incremental),392,0.10649280086932898,586.9111459255219,1.0,0.4,3681
LinUCB (incremental),340,0.0923662048356425,136.97354292869568,5.0,0.4,3681
LinGreedy (incremental),396,0.10757946210268948,195.36878657341003,5.0,0.4,3681
LinUCB (incremental),344,0.093452866069003,109.79078650474548,10.0,0.4,3681
LinGreedy (incremental),398,0.10812279271936974,95.64232730865479,10.0,0.4,3681
LinUCB (incremental),337,0.09155120891062211,16.170902013778687,100.0,0.4,3681
LinGreedy (incremental),376,0.10214615593588698,14.249581575393677,100.0,0.4,3681
LinUCB (incremental),261,0.07090464547677261,2.9854938983917236,1000.0,0.4,3681
LinGreedy (incremental),283,0.07688128226025537,2.7066280841827393,1000.0,0.4,3681
