algorithm,hits,hr,time,batch_size,test_size,test_interactions
LinGreedy (non_incremental),274,0.0868187579214195,0.4969053268432617,,0.35,3156
LinUCB (incremental),301,0.0953738910012674,527.2292954921722,1.0,0.35,3156
LinGreedy (incremental),341,0.1080481622306717,520.6167476177216,1.0,0.35,3156
LinUCB (incremental),373,0.1181875792141951,120.39654040336607,5.0,0.35,3156
LinGreedy (incremental),417,0.1321292775665399,114.79308700561523,5.0,0.35,3156
LinUCB (incremental),414,0.1311787072243346,65.0400755405426,10.0,0.35,3156
LinGreedy (incremental),439,0.1391001267427123,60.83415985107422,10.0,0.35,3156
LinUCB (incremental),402,0.1273764258555133,9.834455728530884,100.0,0.35,3156
LinGreedy (incremental),430,0.1362484157160963,9.52970027923584,100.0,0.35,3156
LinUCB (incremental),309,0.0979087452471483,1.6526589393615725,1000.0,0.35,3156
LinGreedy (incremental),331,0.1048795944233206,1.5777018070220947,1000.0,0.35,3156
ALS,809,0.2197772344471611,1.1931397914886477,,0.4,3681
LinUCB (non_incremental),270,0.0733496332518337,0.6038861274719238,,0.4,3681
LinGreedy (non_incremental),299,0.0812279271936973,0.5618782043457031,,0.4,3681
LinUCB (incremental),337,0.0915512089106221,628.2012059688568,1.0,0.4,3681
LinGreedy (incremental),387,0.1051344743276283,612.5090670585632,1.0,0.4,3681
LinUCB (incremental),404,0.1097527845694104,142.01944971084595,5.0,0.4,3681
LinGreedy (incremental),482,0.1309426786199402,135.1885323524475,5.0,0.4,3681
LinUCB (incremental),463,0.1257810377614778,77.12663912773132,10.0,0.4,3681
LinGreedy (incremental),526,0.1428959521869057,71.25734281539917,10.0,0.4,3681
LinUCB (incremental),475,0.1290410214615593,11.170022249221802,100.0,0.4,3681
LinGreedy (incremental),518,0.1407226297201847,10.533089399337769,100.0,0.4,3681
LinUCB (incremental),374,0.1016028253192067,1.8525257110595703,1000.0,0.4,3681
LinGreedy (incremental),362,0.0983428416191252,1.808966398239136,1000.0,0.4,3681
ALS,893,0.2123662306777645,1.5231075286865234,,0.45,4205
LinUCB (non_incremental),314,0.0746730083234245,0.7823567390441895,,0.45,4205
LinGreedy (non_incremental),354,0.0841854934601664,0.750023603439331,,0.45,4205
LinUCB (incremental),373,0.0887039239001189,708.5292947292328,1.0,0.45,4205
LinGreedy (incremental),425,0.1010701545778834,697.4141709804535,1.0,0.45,4205
LinUCB (incremental),477,0.113436385255648,162.2414300441742,5.0,0.45,4205
LinGreedy (incremental),541,0.1286563614744351,154.08149909973145,5.0,0.45,4205
LinUCB (incremental),539,0.1281807372175981,85.70107579231262,10.0,0.45,4205
LinGreedy (incremental),594,0.1412604042806183,81.87415361404419,10.0,0.45,4205
LinUCB (incremental),572,0.1360285374554102,12.78071665763855,100.0,0.45,4205
LinGreedy (incremental),611,0.1453032104637336,11.92231512069702,100.0,0.45,4205
LinUCB (incremental),440,0.1046373365041617,2.1580467224121094,1000.0,0.45,4205
LinGreedy (incremental),438,0.1041617122473246,2.0101077556610107,1000.0,0.45,4205
ALS,955,0.2020736352094794,1.4852042198181152,,0.5,4726
LinUCB (non_incremental),328,0.0694033008887008,0.8275942802429199,,0.5,4726
LinGreedy (non_incremental),378,0.0799830723656369,0.7430191040039062,,0.5,4726
LinUCB (incremental),390,0.0825222175201015,804.0177533626556,1.0,0.5,4726
LinGreedy (incremental),465,0.0983918747355057,786.7892920970917,1.0,0.5,4726
LinUCB (incremental),538,0.1138383410918324,181.7864897251129,5.0,0.5,4726
LinGreedy (incremental),579,0.12251375370292,173.91484570503235,5.0,0.5,4726
LinUCB (incremental),606,0.1282268303004655,97.55880427360536,10.0,0.5,4726
LinGreedy (incremental),663,0.1402877697841726,91.905508518219,10.0,0.5,4726
LinUCB (incremental),613,0.1297079983072365,14.603432893753052,100.0,0.5,4726
LinGreedy (incremental),636,0.1345746931866271,13.555057525634766,100.0,0.5,4726
LinUCB (incremental),504,0.1066440964875158,2.342863082885742,1000.0,0.5,4726
LinGreedy (incremental),517,0.1093948370715192,2.213144540786743,1000.0,0.5,4726
ALS,954,0.1817142857142857,1.607805252075195,,0.55,5250
LinUCB (non_incremental),347,0.0660952380952381,0.9303734302520752,,0.55,5250
LinGreedy (non_incremental),403,0.0767619047619047,0.7283554077148438,,0.55,5250
LinUCB (incremental),459,0.0874285714285714,1052.4041855335236,1.0,0.55,5250
LinGreedy (incremental),515,0.0980952380952381,1045.93896317482,1.0,0.55,5250
LinUCB (incremental),649,0.1236190476190476,241.64972376823425,5.0,0.55,5250
LinGreedy (incremental),715,0.1361904761904762,232.36953949928284,5.0,0.55,5250
LinUCB (incremental),712,0.1356190476190476,129.2177610397339,10.0,0.55,5250
LinGreedy (incremental),719,0.1369523809523809,111.17229080200195,10.0,0.55,5250
LinUCB (incremental),690,0.1314285714285714,15.82712697982788,100.0,0.55,5250
LinGreedy (incremental),705,0.1342857142857142,14.999789953231812,100.0,0.55,5250
