algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,532,0.2515366430260047,0.6752688884735107,,0.25,2115
LinUCB (non_incremental),177,0.08368794326241134,0.40033912658691406,,0.25,2115
LinGreedy (non_incremental),186,0.08794326241134752,0.3359096050262451,,0.25,2115
LinUCB (incremental),221,0.10449172576832151,343.6058850288391,1.0,0.25,2115
LinGreedy (incremental),234,0.11063829787234042,337.3312997817993,1.0,0.25,2115
LinUCB (incremental),218,0.10307328605200945,77.71636652946472,5.0,0.25,2115
LinGreedy (incremental),230,0.10874704491725769,73.41425561904907,5.0,0.25,2115
LinUCB (incremental),218,0.10307328605200945,41.439762115478516,10.0,0.25,2115
LinGreedy (incremental),234,0.11063829787234042,39.225714445114136,10.0,0.25,2115
LinUCB (incremental),194,0.091725768321513,6.196420907974243,100.0,0.25,2115
LinGreedy (incremental),213,0.10070921985815603,5.770283222198486,100.0,0.25,2115
LinUCB (incremental),187,0.0884160756501182,1.0607919692993164,1000.0,0.25,2115
LinGreedy (incremental),199,0.09408983451536643,0.954409122467041,1000.0,0.25,2115
