algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,824,0.09683864143847691,3.280869483947754,,0.9,8509
LinUCB (non_incremental),389,0.045716300387824656,1.6743969917297363,,0.9,8509
LinGreedy (non_incremental),580,0.06816312140086966,1.3659694194793701,,0.9,8509
LinUCB (incremental),523,0.06146433188388765,1449.1490240097046,1.0,0.9,8509
LinGreedy (incremental),651,0.07650722764132095,1381.040265083313,1.0,0.9,8509
LinUCB (incremental),518,0.06087671876836291,323.9814169406891,5.0,0.9,8509
LinGreedy (incremental),651,0.07650722764132095,309.50793623924255,5.0,0.9,8509
LinUCB (incremental),516,0.060641673522153015,173.20401740074158,10.0,0.9,8509
LinGreedy (incremental),630,0.07403925255611706,164.19555568695068,10.0,0.9,8509
LinUCB (incremental),493,0.057938653190739216,25.847583293914795,100.0,0.9,8509
LinGreedy (incremental),615,0.07227641320954284,24.42817234992981,100.0,0.9,8509
LinUCB (incremental),462,0.05429545187448584,4.3506903648376465,1000.0,0.9,8509
LinGreedy (incremental),605,0.07110118697849337,4.078845262527466,1000.0,0.9,8509
