algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,998,0.1579113924050633,2.0198991298675537,,0.65,6320
LinUCB (non_incremental),349,0.055221518987341775,1.008840799331665,,0.65,6320
LinGreedy (non_incremental),441,0.06977848101265823,0.7991905212402344,,0.65,6320
LinUCB (incremental),522,0.08259493670886076,1025.3543074131012,1.0,0.65,6320
LinGreedy (incremental),598,0.09462025316455697,1057.394189119339,1.0,0.65,6320
LinUCB (incremental),527,0.08338607594936709,286.1602804660797,5.0,0.65,6320
LinGreedy (incremental),612,0.09683544303797469,220.9652931690216,5.0,0.65,6320
LinUCB (incremental),522,0.08259493670886076,126.45979285240173,10.0,0.65,6320
LinGreedy (incremental),593,0.09382911392405063,112.64470505714417,10.0,0.65,6320
LinUCB (incremental),461,0.07294303797468354,17.664294719696045,100.0,0.65,6320
LinGreedy (incremental),535,0.08465189873417721,16.642709732055664,100.0,0.65,6320
LinUCB (incremental),456,0.07215189873417721,2.8546671867370605,1000.0,0.65,6320
LinGreedy (incremental),546,0.08639240506329114,2.7933483123779297,1000.0,0.65,6320
