algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,46,0.15384615384615385,0.25058412551879883,,0.05,299
LinUCB (non_incremental),22,0.07357859531772576,0.07852458953857422,,0.05,299
LinGreedy (non_incremental),22,0.07357859531772576,0.05803799629211426,,0.05,299
LinUCB (incremental),17,0.056856187290969896,68.85690140724182,1.0,0.05,299
LinGreedy (incremental),16,0.05351170568561873,75.32091283798218,1.0,0.05,299
LinUCB (incremental),17,0.056856187290969896,17.92684769630432,5.0,0.05,299
LinGreedy (incremental),16,0.05351170568561873,17.99731755256653,5.0,0.05,299
LinUCB (incremental),19,0.06354515050167224,9.397859573364258,10.0,0.05,299
LinGreedy (incremental),19,0.06354515050167224,10.021118402481079,10.0,0.05,299
LinUCB (incremental),18,0.06020066889632107,1.9301202297210693,100.0,0.05,299
LinGreedy (incremental),19,0.06354515050167224,1.4341397285461426,100.0,0.05,299
LinUCB (incremental),18,0.06020066889632107,0.438385009765625,1000.0,0.05,299
LinGreedy (incremental),22,0.07357859531772576,0.36557698249816895,1000.0,0.05,299
