algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,648,0.2460136674259681,0.8451533317565918,,0.3,2634
LinUCB (non_incremental),202,0.07668944570994685,0.45801234245300293,,0.3,2634
LinGreedy (non_incremental),230,0.08731966590736523,0.37775421142578125,,0.3,2634
LinUCB (incremental),262,0.09946848899012908,429.6172664165497,1.0,0.3,2634
LinGreedy (incremental),285,0.1082004555808656,417.5064265727997,1.0,0.3,2634
LinUCB (incremental),263,0.09984813971146546,97.27710628509521,5.0,0.3,2634
LinGreedy (incremental),283,0.10744115413819286,92.65777277946472,5.0,0.3,2634
LinUCB (incremental),264,0.10022779043280182,52.74823999404907,10.0,0.3,2634
LinGreedy (incremental),289,0.10971905846621109,50.081406116485596,10.0,0.3,2634
LinUCB (incremental),253,0.09605163249810175,7.746768951416016,100.0,0.3,2634
LinGreedy (incremental),260,0.09870918754745633,8.005412340164185,100.0,0.3,2634
LinUCB (incremental),213,0.08086560364464693,1.2744691371917725,1000.0,0.3,2634
LinGreedy (incremental),232,0.08807896735003796,1.26446533203125,1000.0,0.3,2634
