algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,876,0.10566948130277443,4.793278932571411,,0.85,8290
LinUCB (non_incremental),322,0.03884197828709288,2.3274240493774414,,0.85,8290
LinGreedy (non_incremental),529,0.0638118214716526,1.9299166202545166,,0.85,8290
LinUCB (incremental),554,0.06682750301568155,1466.9632341861725,1.0,0.85,8290
LinGreedy (incremental),669,0.08069963811821472,1338.0530388355255,1.0,0.85,8290
LinUCB (incremental),557,0.06718938480096502,312.7800872325897,5.0,0.85,8290
LinGreedy (incremental),644,0.07768395657418577,310.4706082344055,5.0,0.85,8290
LinUCB (incremental),562,0.06779252110977081,186.50362539291382,10.0,0.85,8290
LinGreedy (incremental),694,0.08371531966224367,189.46013569831848,10.0,0.85,8290
LinUCB (incremental),538,0.06489746682750301,31.089954137802124,100.0,0.85,8290
LinGreedy (incremental),632,0.07623642943305187,28.498011827468872,100.0,0.85,8290
LinUCB (incremental),494,0.05958986731001206,5.420466184616089,1000.0,0.85,8290
LinGreedy (incremental),637,0.07683956574185766,4.8946754932403564,1000.0,0.85,8290
