algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,194,0.1860019175455417,0.795616626739502,,0.15,1043
LinUCB (non_incremental),72,0.06903163950143816,0.36758899688720703,,0.15,1043
LinGreedy (non_incremental),77,0.0738255033557047,0.2534935474395752,,0.15,1043
LinUCB (incremental),84,0.08053691275167785,237.70232725143433,1.0,0.15,1043
LinGreedy (incremental),100,0.09587727708533078,181.03005981445312,1.0,0.15,1043
LinUCB (incremental),85,0.08149568552253116,38.896058082580566,5.0,0.15,1043
LinGreedy (incremental),102,0.0977948226270374,37.417598724365234,5.0,0.15,1043
LinUCB (incremental),86,0.08245445829338446,21.445112466812134,10.0,0.15,1043
LinGreedy (incremental),100,0.09587727708533078,22.211514472961426,10.0,0.15,1043
LinUCB (incremental),88,0.08437200383509108,3.386047840118408,100.0,0.15,1043
LinGreedy (incremental),97,0.09300095877277086,3.247377634048462,100.0,0.15,1043
LinUCB (incremental),75,0.07190795781399809,0.48969602584838867,1000.0,0.15,1043
LinGreedy (incremental),83,0.07957813998082454,0.5957760810852051,1000.0,0.15,1043
