algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,749,0.0908760009706382,2.593639850616455,,0.95,8242
LinUCB (non_incremental),556,0.06745935452560058,1.481421709060669,,0.95,8242
LinGreedy (non_incremental),556,0.06745935452560058,1.2631773948669434,,0.95,8242
LinUCB (incremental),486,0.0589662703227372,1370.0251281261444,1.0,0.95,8242
LinGreedy (incremental),587,0.0712205775297258,1325.0220165252686,1.0,0.95,8242
LinUCB (incremental),474,0.057510313030817765,313.1804099082947,5.0,0.95,8242
LinGreedy (incremental),585,0.07097791798107256,303.6718864440918,5.0,0.95,8242
LinUCB (incremental),484,0.05872361077408396,177.6191689968109,10.0,0.95,8242
LinGreedy (incremental),589,0.07146323707837904,157.51643109321594,10.0,0.95,8242
LinUCB (incremental),506,0.061392865809269594,24.290873289108276,100.0,0.95,8242
LinGreedy (incremental),605,0.07340451346760495,23.464791774749756,100.0,0.95,8242
LinUCB (incremental),485,0.05884494054841058,4.258888006210327,1000.0,0.95,8242
LinGreedy (incremental),602,0.07304052414462509,4.135611534118652,1000.0,0.95,8242
