algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,763,0.2417617237008872,1.0225248336791992,,0.35,3156
LinUCB (non_incremental),252,0.07984790874524715,0.6031782627105713,,0.35,3156
LinGreedy (non_incremental),274,0.08681875792141952,0.45163869857788086,,0.35,3156
LinUCB (incremental),301,0.09537389100126743,511.9279479980469,1.0,0.35,3156
LinGreedy (incremental),340,0.10773130544993663,508.6457750797272,1.0,0.35,3156
LinUCB (incremental),305,0.09664131812420786,117.45243382453918,5.0,0.35,3156
LinGreedy (incremental),347,0.10994930291508238,111.61911392211914,5.0,0.35,3156
LinUCB (incremental),303,0.09600760456273764,62.60939598083496,10.0,0.35,3156
LinGreedy (incremental),353,0.11185044359949303,59.1498749256134,10.0,0.35,3156
LinUCB (incremental),267,0.08460076045627377,9.649159908294678,100.0,0.35,3156
LinGreedy (incremental),305,0.09664131812420786,8.950266122817993,100.0,0.35,3156
LinUCB (incremental),264,0.08365019011406843,1.5271506309509277,1000.0,0.35,3156
LinGreedy (incremental),284,0.08998732572877059,1.5008635520935059,1000.0,0.35,3156
