algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,948,0.1280561934350939,2.100457191467285,,0.75,7403
LinUCB (non_incremental),391,0.05281642577333513,1.110428810119629,,0.75,7403
LinGreedy (non_incremental),529,0.07145751722274754,0.8709661960601807,,0.75,7403
LinUCB (incremental),526,0.07105227610428205,1156.5179908275604,1.0,0.75,7403
LinGreedy (incremental),662,0.08942320680805078,1200.5610327720642,1.0,0.75,7403
LinUCB (incremental),523,0.07064703498581656,296.57391381263733,5.0,0.75,7403
LinGreedy (incremental),655,0.08847764419829798,308.6816062927246,5.0,0.75,7403
LinUCB (incremental),519,0.07010671349452924,216.3912467956543,10.0,0.75,7403
LinGreedy (incremental),638,0.0861812778603269,134.57094931602478,10.0,0.75,7403
LinUCB (incremental),487,0.06578414156423072,21.17582607269287,100.0,0.75,7403
LinGreedy (incremental),577,0.07794137511819532,22.801634788513184,100.0,0.75,7403
LinUCB (incremental),469,0.0633526948534378,3.3925509452819824,1000.0,0.75,7403
LinGreedy (incremental),545,0.07361880318789679,4.097601890563965,1000.0,0.75,7403
