algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,82,0.13162118780096307,0.2941551208496094,,0.1,623
LinUCB (non_incremental),47,0.0754414125200642,0.15873003005981445,,0.1,623
LinGreedy (non_incremental),50,0.08025682182985554,0.18097901344299316,,0.1,623
LinUCB (incremental),43,0.06902086677367576,141.43397879600525,1.0,0.1,623
LinGreedy (incremental),52,0.08346709470304976,152.01793670654297,1.0,0.1,623
LinUCB (incremental),43,0.06902086677367576,36.42882776260376,5.0,0.1,623
LinGreedy (incremental),53,0.08507223113964688,35.98218750953674,5.0,0.1,623
LinUCB (incremental),43,0.06902086677367576,22.984070539474487,10.0,0.1,623
LinGreedy (incremental),52,0.08346709470304976,19.136897325515747,10.0,0.1,623
LinUCB (incremental),45,0.07223113964686999,3.991257667541504,100.0,0.1,623
LinGreedy (incremental),52,0.08346709470304976,3.605273962020874,100.0,0.1,623
LinUCB (incremental),42,0.06741573033707865,0.6868479251861572,1000.0,0.1,623
LinGreedy (incremental),40,0.06420545746388442,0.6566910743713379,1000.0,0.1,623
