algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,870,0.11065886542864412,2.5623085498809814,,0.8,7862
LinUCB (non_incremental),307,0.03904858814551005,1.17805814743042,,0.8,7862
LinGreedy (non_incremental),522,0.06639531925718646,1.0246052742004395,,0.8,7862
LinUCB (incremental),534,0.06792164843551259,1258.6457045078278,1.0,0.8,7862
LinGreedy (incremental),647,0.08229458153141694,1241.140510559082,1.0,0.8,7862
LinUCB (incremental),532,0.06766726023912491,412.27009987831116,5.0,0.8,7862
LinGreedy (incremental),626,0.07962350546934623,357.406347990036,5.0,0.8,7862
LinUCB (incremental),540,0.06868481302467566,212.0257499217987,10.0,0.8,7862
LinGreedy (incremental),628,0.0798778936657339,162.08690929412842,10.0,0.8,7862
LinUCB (incremental),487,0.06194352582040193,23.94607162475586,100.0,0.8,7862
LinGreedy (incremental),607,0.07720681760366319,23.373459577560425,100.0,0.8,7862
LinUCB (incremental),497,0.06321546680234037,4.121784210205078,1000.0,0.8,7862
LinGreedy (incremental),669,0.0850928516916815,3.849597215652466,1000.0,0.8,7862
