algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,1050,0.1661392405063291,2.5900256633758545,2,True,0.65,6320
ALS,998,0.1579113924050633,2.680006742477417,2,False,0.65,6320
BPR,758,0.1199367088607595,2.9473366737365723,2,True,0.65,6320
BPR,772,0.12215189873417721,2.8908884525299072,2,False,0.65,6320
ALS,1054,0.16677215189873418,2.5416834354400635,4,True,0.65,6320
ALS,979,0.15490506329113923,2.564878463745117,4,False,0.65,6320
BPR,733,0.11598101265822784,2.8709073066711426,4,True,0.65,6320
BPR,723,0.11439873417721519,3.1083319187164307,4,False,0.65,6320
ALS,1084,0.17151898734177215,2.5691680908203125,8,True,0.65,6320
ALS,911,0.14414556962025316,2.5993988513946533,8,False,0.65,6320
BPR,828,0.1310126582278481,2.8235154151916504,8,True,0.65,6320
BPR,825,0.1305379746835443,2.98370623588562,8,False,0.65,6320
ALS,889,0.14066455696202532,2.5819108486175537,16,True,0.65,6320
ALS,839,0.13275316455696204,2.6667025089263916,16,False,0.65,6320
BPR,764,0.1208860759493671,3.6007068157196045,16,True,0.65,6320
BPR,763,0.12072784810126583,2.8993818759918213,16,False,0.65,6320
ALS,737,0.11661392405063291,2.541412830352783,32,True,0.65,6320
ALS,717,0.11344936708860759,2.548968553543091,32,False,0.65,6320
BPR,794,0.12563291139240507,2.961550235748291,32,True,0.65,6320
BPR,796,0.1259493670886076,2.9099676609039307,32,False,0.65,6320
ALS,546,0.08639240506329114,4.378798246383667,64,True,0.65,6320
ALS,503,0.0795886075949367,4.380786657333374,64,False,0.65,6320
BPR,768,0.12151898734177215,4.588750123977661,64,True,0.65,6320
BPR,760,0.12025316455696203,4.539085149765015,64,False,0.65,6320
ALS,293,0.04636075949367088,4.2069268226623535,128,True,0.65,6320
ALS,273,0.04319620253164557,4.062142372131348,128,False,0.65,6320
BPR,855,0.13528481012658228,4.367780923843384,128,True,0.65,6320
BPR,851,0.1346518987341772,4.4003746509552,128,False,0.65,6320
ALS,607,0.09604430379746835,4.439241170883179,256,True,0.65,6320
ALS,404,0.06392405063291139,4.478662729263306,256,False,0.65,6320
BPR,866,0.1370253164556962,4.6736743450164795,256,True,0.65,6320
BPR,869,0.1375,4.3818440437316895,256,False,0.65,6320
ALS,620,0.0981012658227848,4.441185235977173,512,True,0.65,6320
ALS,397,0.06281645569620253,4.759413003921509,512,False,0.65,6320
BPR,770,0.12183544303797468,4.384269714355469,512,True,0.65,6320
BPR,766,0.12120253164556961,4.381553888320923,512,False,0.65,6320
