algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
ALS,749,0.0908760009706382,3.871593475341797,{},,0.95,8242
LinUCB (non_incremental),580,0.07037126910943946,1.8032050132751465,{'alpha': 0.1},,0.95,8242
LinUCB (non_incremental),567,0.0687939820431934,1.899247646331787,{'alpha': 0.5},,0.95,8242
LinUCB (non_incremental),556,0.06745935452560058,2.2389700412750244,{'alpha': 1},,0.95,8242
LinUCB (non_incremental),548,0.06648871633098763,2.48728084564209,{'alpha': 1.5},,0.95,8242
LinUCB (non_incremental),535,0.06491142926474157,2.0057616233825684,{'alpha': 2},,0.95,8242
LinGreedy (non_incremental),579,0.07024993933511284,1.5127196311950684,{'epsilon': 0.01},,0.95,8242
LinGreedy (non_incremental),566,0.06867265226886678,2.340153932571411,{'epsilon': 0.05},,0.95,8242
LinGreedy (non_incremental),556,0.06745935452560058,1.8649864196777344,{'epsilon': 0.1},,0.95,8242
LinGreedy (non_incremental),521,0.06321281242416889,1.9364337921142578,{'epsilon': 0.25},,0.95,8242
LinGreedy (non_incremental),494,0.05993690851735016,1.70750093460083,{'epsilon': 0.5},,0.95,8242
LinUCB (incremental),611,0.07413249211356467,215.6462106704712,{'alpha': 0.1},10.0,0.95,8242
LinUCB (incremental),551,0.06685270565396749,196.15214776992798,{'alpha': 0.5},10.0,0.95,8242
LinUCB (incremental),484,0.05872361077408396,217.4975459575653,{'alpha': 1},10.0,0.95,8242
LinUCB (incremental),440,0.05338510070371269,186.9878454208374,{'alpha': 1.5},10.0,0.95,8242
LinUCB (incremental),384,0.04659063334142199,196.077570438385,{'alpha': 2},10.0,0.95,8242
LinGreedy (incremental),613,0.0743751516622179,193.54950261116028,{'epsilon': 0.01},10.0,0.95,8242
LinGreedy (incremental),599,0.07267653482164523,192.89042043685913,{'epsilon': 0.05},10.0,0.95,8242
LinGreedy (incremental),589,0.07146323707837904,191.8118863105774,{'epsilon': 0.1},10.0,0.95,8242
LinGreedy (incremental),577,0.0700072797864596,201.20779657363892,{'epsilon': 0.25},10.0,0.95,8242
LinGreedy (incremental),517,0.06272749332686241,201.6319818496704,{'epsilon': 0.5},10.0,0.95,8242
LinUCB (incremental),624,0.07570977917981073,28.21925115585327,{'alpha': 0.1},100.0,0.95,8242
LinUCB (incremental),579,0.07024993933511284,31.671512842178345,{'alpha': 0.5},100.0,0.95,8242
LinUCB (incremental),506,0.061392865809269594,32.25230026245117,{'alpha': 1},100.0,0.95,8242
LinUCB (incremental),441,0.05350643047803931,27.164692163467407,{'alpha': 1.5},100.0,0.95,8242
LinUCB (incremental),388,0.04707595243872846,30.63586401939392,{'alpha': 2},100.0,0.95,8242
LinGreedy (incremental),626,0.07595243872846397,30.430468320846558,{'epsilon': 0.01},100.0,0.95,8242
LinGreedy (incremental),614,0.07449648143654453,31.23501944541931,{'epsilon': 0.05},100.0,0.95,8242
LinGreedy (incremental),605,0.07340451346760495,31.17099142074585,{'epsilon': 0.1},100.0,0.95,8242
LinGreedy (incremental),578,0.07012860956078622,31.653805017471313,{'epsilon': 0.25},100.0,0.95,8242
LinGreedy (incremental),555,0.06733802475127396,30.829258918762207,{'epsilon': 0.5},100.0,0.95,8242
LinUCB (incremental),612,0.07425382188789129,5.3843748569488525,{'alpha': 0.1},1000.0,0.95,8242
LinUCB (incremental),535,0.06491142926474157,5.031442165374756,{'alpha': 0.5},1000.0,0.95,8242
LinUCB (incremental),485,0.05884494054841058,5.295807123184204,{'alpha': 1},1000.0,0.95,8242
LinUCB (incremental),415,0.050351856345547195,5.105703353881836,{'alpha': 1.5},1000.0,0.95,8242
LinUCB (incremental),378,0.04586265469546227,5.791882753372192,{'alpha': 2},1000.0,0.95,8242
LinGreedy (incremental),621,0.07534578985683087,4.632084608078003,{'epsilon': 0.01},1000.0,0.95,8242
LinGreedy (incremental),616,0.07473914098519777,5.307562828063965,{'epsilon': 0.05},1000.0,0.95,8242
LinGreedy (incremental),602,0.07304052414462509,4.762713670730591,{'epsilon': 0.1},1000.0,0.95,8242
LinGreedy (incremental),561,0.06806600339723368,5.075954914093018,{'epsilon': 0.25},1000.0,0.95,8242
LinGreedy (incremental),522,0.06333414219849551,5.134477615356445,{'epsilon': 0.5},1000.0,0.95,8242
