algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,902,0.21450653983353152,2.1563527584075928,2,True,0.45,4205
ALS,887,0.21093935790725327,2.043238401412964,2,False,0.45,4205
BPR,646,0.15362663495838288,2.3094780445098877,2,True,0.45,4205
BPR,654,0.15552913198573126,2.1063966751098633,2,False,0.45,4205
ALS,916,0.2178359096313912,1.8668737411499023,4,True,0.45,4205
ALS,894,0.2126040428061831,1.9875783920288086,4,False,0.45,4205
BPR,623,0.14815695600475623,2.0845439434051514,4,True,0.45,4205
BPR,624,0.1483947681331748,2.0880603790283203,4,False,0.45,4205
ALS,916,0.2178359096313912,1.902879238128662,8,True,0.45,4205
ALS,878,0.20879904875148633,1.7711131572723389,8,False,0.45,4205
BPR,683,0.1624256837098692,2.1617770195007324,8,True,0.45,4205
BPR,672,0.15980975029726516,2.0766494274139404,8,False,0.45,4205
ALS,820,0.19500594530321047,1.7879548072814941,16,True,0.45,4205
ALS,782,0.1859690844233056,1.7651219367980957,16,False,0.45,4205
BPR,693,0.1648038049940547,2.033933639526367,16,True,0.45,4205
BPR,700,0.16646848989298454,2.593911647796631,16,False,0.45,4205
ALS,690,0.16409036860879905,1.8201830387115479,32,True,0.45,4205
ALS,632,0.1502972651605232,1.7679376602172852,32,False,0.45,4205
BPR,673,0.16004756242568371,2.0365796089172363,32,True,0.45,4205
BPR,671,0.1595719381688466,2.1557421684265137,32,False,0.45,4205
ALS,468,0.1112960760998811,2.7036826610565186,64,True,0.45,4205
ALS,438,0.10416171224732461,2.995457649230957,64,False,0.45,4205
BPR,702,0.16694411414982163,3.286391258239746,64,True,0.45,4205
BPR,693,0.1648038049940547,3.1352548599243164,64,False,0.45,4205
ALS,210,0.04994054696789536,2.885852098464966,128,True,0.45,4205
ALS,204,0.04851367419738407,2.94661283493042,128,False,0.45,4205
BPR,733,0.17431629013079666,3.2126877307891846,128,True,0.45,4205
BPR,740,0.1759809750297265,3.13687801361084,128,False,0.45,4205
ALS,488,0.11605231866825208,3.173393964767456,256,True,0.45,4205
ALS,345,0.08204518430439953,3.0760490894317627,256,False,0.45,4205
BPR,750,0.178359096313912,2.9876339435577393,256,True,0.45,4205
BPR,754,0.1793103448275862,3.2168726921081543,256,False,0.45,4205
ALS,480,0.11414982164090369,3.232872247695923,512,True,0.45,4205
ALS,354,0.08418549346016647,3.8200786113739014,512,False,0.45,4205
BPR,763,0.18145065398335314,3.143186330795288,512,True,0.45,4205
BPR,758,0.1802615933412604,3.2329976558685303,512,False,0.45,4205
