algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,696,0.22053231939163498,1.5698373317718506,2,True,0.35,3156
ALS,708,0.22433460076045628,1.4136180877685547,2,False,0.35,3156
BPR,542,0.17173637515842838,1.900968313217163,2,True,0.35,3156
BPR,544,0.17237008871989862,1.8522841930389404,2,False,0.35,3156
ALS,762,0.2414448669201521,1.6339969635009766,4,True,0.35,3156
ALS,747,0.23669201520912547,1.4466474056243896,4,False,0.35,3156
BPR,548,0.17363751584283904,1.8035452365875244,4,True,0.35,3156
BPR,545,0.1726869455006337,1.8858537673950195,4,False,0.35,3156
ALS,791,0.25063371356147024,1.5061242580413818,8,True,0.35,3156
ALS,737,0.2335234474017744,1.4073007106781006,8,False,0.35,3156
BPR,584,0.1850443599493029,2.0131819248199463,8,True,0.35,3156
BPR,585,0.18536121673003803,1.8013880252838135,8,False,0.35,3156
ALS,698,0.2211660329531052,1.655165672302246,16,True,0.35,3156
ALS,650,0.20595690747782003,1.515084981918335,16,False,0.35,3156
BPR,570,0.1806083650190114,2.18051815032959,16,True,0.35,3156
BPR,570,0.1806083650190114,1.698132038116455,16,False,0.35,3156
ALS,593,0.18789607097591887,1.4818706512451172,32,True,0.35,3156
ALS,510,0.16159695817490494,1.4365496635437012,32,False,0.35,3156
BPR,571,0.18092522179974652,1.735170602798462,32,True,0.35,3156
BPR,572,0.18124207858048164,1.7736587524414062,32,False,0.35,3156
ALS,371,0.11755386565272496,2.278207302093506,64,True,0.35,3156
ALS,309,0.0979087452471483,2.360605478286743,64,False,0.35,3156
BPR,569,0.1802915082382763,2.571152448654175,64,True,0.35,3156
BPR,571,0.18092522179974652,3.0413591861724854,64,False,0.35,3156
ALS,177,0.05608365019011407,2.6599879264831543,128,True,0.35,3156
ALS,155,0.0491128010139417,2.633532762527466,128,False,0.35,3156
BPR,584,0.1850443599493029,2.582852363586426,128,True,0.35,3156
BPR,582,0.1844106463878327,2.5394797325134277,128,False,0.35,3156
ALS,409,0.12959442332065907,2.444528341293335,256,True,0.35,3156
ALS,338,0.10709759188846642,2.5643348693847656,256,False,0.35,3156
BPR,592,0.18757921419518378,2.526782274246216,256,True,0.35,3156
BPR,595,0.1885297845373891,3.02459979057312,256,False,0.35,3156
ALS,417,0.13212927756653992,2.6166462898254395,512,True,0.35,3156
ALS,328,0.10392902408111533,2.453839063644409,512,False,0.35,3156
BPR,563,0.17839036755386564,2.717979669570923,512,True,0.35,3156
BPR,567,0.1796577946768061,2.833353281021118,512,False,0.35,3156
