algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
ALS,893,0.21236623067776456,1.3182556629180908,{},,0.45,4205
LinUCB (non_incremental),358,0.08513674197384066,0.648291826248169,{'alpha': 0.1},,0.45,4205
LinUCB (non_incremental),339,0.08061831153388822,0.6420223712921143,{'alpha': 0.5},,0.45,4205
LinUCB (non_incremental),314,0.0746730083234245,0.6939811706542969,{'alpha': 1},,0.45,4205
LinUCB (non_incremental),274,0.06516052318668251,0.6822218894958496,{'alpha': 1.5},,0.45,4205
LinUCB (non_incremental),253,0.06016646848989298,0.6168529987335205,{'alpha': 2},,0.45,4205
LinGreedy (non_incremental),360,0.08561236623067776,0.5425729751586914,{'epsilon': 0.01},,0.45,4205
LinGreedy (non_incremental),358,0.08513674197384066,0.5643184185028076,{'epsilon': 0.05},,0.45,4205
LinGreedy (non_incremental),354,0.08418549346016647,0.5515375137329102,{'epsilon': 0.1},,0.45,4205
LinGreedy (non_incremental),323,0.07681331747919144,0.5364682674407959,{'epsilon': 0.25},,0.45,4205
LinGreedy (non_incremental),292,0.06944114149821641,0.6176590919494629,{'epsilon': 0.5},,0.45,4205
LinUCB (incremental),452,0.1074910820451843,83.0681221485138,{'alpha': 0.1},10.0,0.45,4205
LinUCB (incremental),428,0.10178359096313912,93.8334014415741,{'alpha': 0.5},10.0,0.45,4205
LinUCB (incremental),383,0.0910820451843044,89.2480731010437,{'alpha': 1},10.0,0.45,4205
LinUCB (incremental),331,0.07871581450653983,88.29152655601501,{'alpha': 1.5},10.0,0.45,4205
LinUCB (incremental),306,0.0727705112960761,84.04620337486267,{'alpha': 2},10.0,0.45,4205
LinGreedy (incremental),460,0.10939357907253269,79.63037657737732,{'epsilon': 0.01},10.0,0.45,4205
LinGreedy (incremental),452,0.1074910820451843,81.4450330734253,{'epsilon': 0.05},10.0,0.45,4205
LinGreedy (incremental),448,0.1065398335315101,89.91243958473206,{'epsilon': 0.1},10.0,0.45,4205
LinGreedy (incremental),403,0.09583828775267539,84.93918919563293,{'epsilon': 0.25},10.0,0.45,4205
LinGreedy (incremental),364,0.08656361474435197,83.06442189216614,{'epsilon': 0.5},10.0,0.45,4205
LinUCB (incremental),406,0.09655172413793103,12.416264295578003,{'alpha': 0.1},100.0,0.45,4205
LinUCB (incremental),365,0.08680142687277051,12.338425397872925,{'alpha': 0.5},100.0,0.45,4205
LinUCB (incremental),337,0.08014268727705114,13.27590537071228,{'alpha': 1},100.0,0.45,4205
LinUCB (incremental),308,0.0732461355529132,16.026024103164673,{'alpha': 1.5},100.0,0.45,4205
LinUCB (incremental),283,0.06730083234244946,13.843316316604614,{'alpha': 2},100.0,0.45,4205
LinGreedy (incremental),418,0.09940546967895363,14.387625694274902,{'epsilon': 0.01},100.0,0.45,4205
LinGreedy (incremental),406,0.09655172413793103,13.213059186935425,{'epsilon': 0.05},100.0,0.45,4205
LinGreedy (incremental),390,0.09274673008323424,12.973339557647705,{'epsilon': 0.1},100.0,0.45,4205
LinGreedy (incremental),377,0.0896551724137931,12.962639093399048,{'epsilon': 0.25},100.0,0.45,4205
LinGreedy (incremental),334,0.07942925089179548,13.30956768989563,{'epsilon': 0.5},100.0,0.45,4205
LinUCB (incremental),385,0.09155766944114149,2.3700919151306152,{'alpha': 0.1},1000.0,0.45,4205
LinUCB (incremental),364,0.08656361474435197,2.3402225971221924,{'alpha': 0.5},1000.0,0.45,4205
LinUCB (incremental),338,0.08038049940546968,2.2041475772857666,{'alpha': 1},1000.0,0.45,4205
LinUCB (incremental),310,0.07372175980975029,2.2717080116271973,{'alpha': 1.5},1000.0,0.45,4205
LinUCB (incremental),277,0.06587395957193817,2.1925816535949707,{'alpha': 2},1000.0,0.45,4205
LinGreedy (incremental),378,0.08989298454221166,2.2888026237487793,{'epsilon': 0.01},1000.0,0.45,4205
LinGreedy (incremental),371,0.08822829964328181,2.504345417022705,{'epsilon': 0.05},1000.0,0.45,4205
LinGreedy (incremental),371,0.08822829964328181,2.150529623031616,{'epsilon': 0.1},1000.0,0.45,4205
LinGreedy (incremental),351,0.08347205707491082,2.1911849975585938,{'epsilon': 0.25},1000.0,0.45,4205
LinGreedy (incremental),318,0.0756242568370987,2.1426007747650146,{'epsilon': 0.5},1000.0,0.45,4205
