algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
LinUCB (incremental),51,0.0818619582664526,2.1474788188934326,{'alpha': 0.5},100.0,0.1,623
LinUCB (incremental),45,0.0722311396468699,1.9298887252807615,{'alpha': 1},100.0,0.1,623
LinUCB (incremental),40,0.0642054574638844,2.2092604637146,{'alpha': 1.5},100.0,0.1,623
LinUCB (incremental),39,0.0626003210272873,2.292747735977173,{'alpha': 2},100.0,0.1,623
LinGreedy (incremental),52,0.0834670947030497,2.0980939865112305,{'epsilon': 0.01},100.0,0.1,623
LinGreedy (incremental),48,0.0770465489566613,1.9241883754730225,{'epsilon': 0.05},100.0,0.1,623
LinGreedy (incremental),52,0.0834670947030497,1.8417985439300537,{'epsilon': 0.1},100.0,0.1,623
LinGreedy (incremental),49,0.0786516853932584,1.956970691680908,{'epsilon': 0.25},100.0,0.1,623
LinGreedy (incremental),38,0.0609951845906902,2.0679266452789307,{'epsilon': 0.5},100.0,0.1,623
LinUCB (incremental),45,0.0722311396468699,0.4217989444732666,{'alpha': 0.1},1000.0,0.1,623
LinUCB (incremental),43,0.0690208667736757,0.4661290645599365,{'alpha': 0.5},1000.0,0.1,623
LinUCB (incremental),42,0.0674157303370786,0.3718647956848144,{'alpha': 1},1000.0,0.1,623
LinUCB (incremental),40,0.0642054574638844,0.3713223934173584,{'alpha': 1.5},1000.0,0.1,623
LinUCB (incremental),38,0.0609951845906902,0.3793325424194336,{'alpha': 2},1000.0,0.1,623
LinGreedy (incremental),46,0.0738362760834671,0.3658154010772705,{'epsilon': 0.01},1000.0,0.1,623
LinGreedy (incremental),43,0.0690208667736757,0.3590757846832275,{'epsilon': 0.05},1000.0,0.1,623
LinGreedy (incremental),40,0.0642054574638844,0.3379623889923095,{'epsilon': 0.1},1000.0,0.1,623
LinGreedy (incremental),39,0.0626003210272873,0.3517553806304931,{'epsilon': 0.25},1000.0,0.1,623
LinGreedy (incremental),42,0.0674157303370786,0.3447391986846924,{'epsilon': 0.5},1000.0,0.1,623
ALS,194,0.1860019175455417,0.362229585647583,{},,0.15,1043
LinUCB (non_incremental),83,0.0795781399808245,0.1952471733093261,{'alpha': 0.1},,0.15,1043
LinUCB (non_incremental),79,0.0757430488974113,0.1950869560241699,{'alpha': 0.5},,0.15,1043
LinUCB (non_incremental),72,0.0690316395014381,0.1889193058013916,{'alpha': 1},,0.15,1043
LinUCB (non_incremental),69,0.0661553211888782,0.2298884391784668,{'alpha': 1.5},,0.15,1043
LinUCB (non_incremental),62,0.059443911792905,0.2079300880432129,{'alpha': 2},,0.15,1043
LinGreedy (non_incremental),84,0.0805369127516778,0.1777665615081787,{'epsilon': 0.01},,0.15,1043
LinGreedy (non_incremental),84,0.0805369127516778,0.1651439666748047,{'epsilon': 0.05},,0.15,1043
LinGreedy (non_incremental),77,0.0738255033557047,0.1759719848632812,{'epsilon': 0.1},,0.15,1043
LinGreedy (non_incremental),74,0.0709491850431447,0.1566669940948486,{'epsilon': 0.25},,0.15,1043
LinGreedy (non_incremental),64,0.0613614573346116,0.1528518199920654,{'epsilon': 0.5},,0.15,1043
LinUCB (incremental),106,0.1016299137104506,22.739357471466064,{'alpha': 0.1},10.0,0.15,1043
LinUCB (incremental),101,0.096836049856184,32.66339111328125,{'alpha': 0.5},10.0,0.15,1043
LinUCB (incremental),86,0.0824544582933844,29.7017126083374,{'alpha': 1},10.0,0.15,1043
LinUCB (incremental),76,0.0728667305848514,30.123368501663208,{'alpha': 1.5},10.0,0.15,1043
LinUCB (incremental),66,0.0632790028763183,28.262991189956665,{'alpha': 2},10.0,0.15,1043
LinGreedy (incremental),109,0.1045062320230105,28.244994640350345,{'epsilon': 0.01},10.0,0.15,1043
LinGreedy (incremental),107,0.1025886864813039,25.7422194480896,{'epsilon': 0.05},10.0,0.15,1043
LinGreedy (incremental),100,0.0958772770853307,29.94028735160828,{'epsilon': 0.1},10.0,0.15,1043
LinGreedy (incremental),92,0.0882070949185043,25.710137605667114,{'epsilon': 0.25},10.0,0.15,1043
LinGreedy (incremental),75,0.071907957813998,25.075063705444336,{'epsilon': 0.5},10.0,0.15,1043
LinUCB (incremental),104,0.099712368168744,3.9811549186706543,{'alpha': 0.1},100.0,0.15,1043
LinUCB (incremental),101,0.096836049856184,5.020803213119507,{'alpha': 0.5},100.0,0.15,1043
LinUCB (incremental),88,0.084372003835091,3.40554141998291,{'alpha': 1},100.0,0.15,1043
LinUCB (incremental),79,0.0757430488974113,4.5234246253967285,{'alpha': 1.5},100.0,0.15,1043
LinUCB (incremental),65,0.062320230105465,3.78652286529541,{'alpha': 2},100.0,0.15,1043
LinGreedy (incremental),102,0.0977948226270374,3.9225528240203857,{'epsilon': 0.01},100.0,0.15,1043
LinGreedy (incremental),101,0.096836049856184,4.271502256393433,{'epsilon': 0.05},100.0,0.15,1043
LinGreedy (incremental),97,0.0930009587727708,3.437429904937744,{'epsilon': 0.1},100.0,0.15,1043
LinGreedy (incremental),80,0.0767018216682646,4.377570867538452,{'epsilon': 0.25},100.0,0.15,1043
LinGreedy (incremental),76,0.0728667305848514,3.433584451675415,{'epsilon': 0.5},100.0,0.15,1043
LinUCB (incremental),90,0.0862895493767977,0.6228229999542236,{'alpha': 0.1},1000.0,0.15,1043
LinUCB (incremental),85,0.0814956855225311,0.6240391731262207,{'alpha': 0.5},1000.0,0.15,1043
LinUCB (incremental),75,0.071907957813998,0.6130471229553223,{'alpha': 1},1000.0,0.15,1043
LinUCB (incremental),63,0.0604026845637583,0.7571516036987305,{'alpha': 1.5},1000.0,0.15,1043
LinUCB (incremental),53,0.0508149568552253,0.744858980178833,{'alpha': 2},1000.0,0.15,1043
LinGreedy (incremental),87,0.0834132310642377,0.6403918266296387,{'epsilon': 0.01},1000.0,0.15,1043
LinGreedy (incremental),85,0.0814956855225311,0.8105194568634033,{'epsilon': 0.05},1000.0,0.15,1043
LinGreedy (incremental),83,0.0795781399808245,0.744328498840332,{'epsilon': 0.1},1000.0,0.15,1043
LinGreedy (incremental),86,0.0824544582933844,0.6134288311004639,{'epsilon': 0.25},1000.0,0.15,1043
LinGreedy (incremental),75,0.071907957813998,0.4725236892700195,{'epsilon': 0.5},1000.0,0.15,1043
ALS,384,0.2394014962593516,0.5682313442230225,{},,0.2,1604
LinUCB (non_incremental),151,0.0941396508728179,0.321582555770874,{'alpha': 0.1},,0.2,1604
LinUCB (non_incremental),145,0.0903990024937655,0.2665762901306152,{'alpha': 0.5},,0.2,1604
LinUCB (non_incremental),139,0.0866583541147132,0.2681775093078613,{'alpha': 1},,0.2,1604
LinUCB (non_incremental),123,0.0766832917705735,0.2691545486450195,{'alpha': 1.5},,0.2,1604
LinUCB (non_incremental),110,0.0685785536159601,0.2617397308349609,{'alpha': 2},,0.2,1604
LinGreedy (non_incremental),153,0.0953865336658354,0.2634501457214355,{'epsilon': 0.01},,0.2,1604
LinGreedy (non_incremental),146,0.0910224438902743,0.2394306659698486,{'epsilon': 0.05},,0.2,1604
LinGreedy (non_incremental),140,0.0872817955112219,0.295154333114624,{'epsilon': 0.1},,0.2,1604
