algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
ALS,973,0.16807738814993953,2.1444644927978516,{},,0.6,5789
LinUCB (non_incremental),480,0.08291587493522197,1.0780413150787354,{'alpha': 0.1},,0.6,5789
LinUCB (non_incremental),449,0.07756089134565555,1.1956541538238525,{'alpha': 0.5},,0.6,5789
LinUCB (non_incremental),390,0.06736914838486785,0.8870608806610107,{'alpha': 1},,0.6,5789
LinUCB (non_incremental),337,0.05821385386077043,0.9658689498901367,{'alpha': 1.5},,0.6,5789
LinUCB (non_incremental),289,0.04992226636724823,0.9428510665893555,{'alpha': 2},,0.6,5789
LinGreedy (non_incremental),492,0.08498877180860252,0.9134807586669922,{'epsilon': 0.01},,0.6,5789
LinGreedy (non_incremental),487,0.0841250647780273,0.8402619361877441,{'epsilon': 0.05},,0.6,5789
LinGreedy (non_incremental),465,0.08032475384349629,0.837792158126831,{'epsilon': 0.1},,0.6,5789
LinGreedy (non_incremental),420,0.07255139056831923,0.7865333557128906,{'epsilon': 0.25},,0.6,5789
LinGreedy (non_incremental),395,0.06823285541544308,1.0299971103668213,{'epsilon': 0.5},,0.6,5789
LinUCB (incremental),575,0.09932630851615132,140.21768283843994,{'alpha': 0.1},10.0,0.6,5789
LinUCB (incremental),522,0.09017101399205389,155.31715083122253,{'alpha': 0.5},10.0,0.6,5789
LinUCB (incremental),465,0.08032475384349629,130.3551001548767,{'alpha': 1},10.0,0.6,5789
LinUCB (incremental),440,0.07600621869062014,139.36255860328674,{'alpha': 1.5},10.0,0.6,5789
LinUCB (incremental),384,0.06633269994817757,126.79033041000366,{'alpha': 2},10.0,0.6,5789
LinGreedy (incremental),575,0.09932630851615132,187.18244171142578,{'epsilon': 0.01},10.0,0.6,5789
LinGreedy (incremental),573,0.09898082570392124,146.15321612358093,{'epsilon': 0.05},10.0,0.6,5789
LinGreedy (incremental),549,0.09483503195716013,168.82120561599731,{'epsilon': 0.1},10.0,0.6,5789
LinGreedy (incremental),503,0.08688892727586803,176.72108602523804,{'epsilon': 0.25},10.0,0.6,5789
LinGreedy (incremental),439,0.0758334772845051,145.10500288009644,{'epsilon': 0.5},10.0,0.6,5789
LinUCB (incremental),487,0.0841250647780273,23.471662998199463,{'alpha': 0.1},100.0,0.6,5789
LinUCB (incremental),457,0.07894282259457593,26.142242193222046,{'alpha': 0.5},100.0,0.6,5789
LinUCB (incremental),435,0.07514251166004492,23.51538634300232,{'alpha': 1},100.0,0.6,5789
LinUCB (incremental),385,0.06650544135429262,28.291452884674072,{'alpha': 1.5},100.0,0.6,5789
LinUCB (incremental),351,0.060632233546381066,26.102943897247314,{'alpha': 2},100.0,0.6,5789
LinGreedy (incremental),480,0.08291587493522197,24.64882183074951,{'epsilon': 0.01},100.0,0.6,5789
LinGreedy (incremental),475,0.08205216790464674,18.736082077026367,{'epsilon': 0.05},100.0,0.6,5789
LinGreedy (incremental),468,0.08084297806184142,30.82846236228943,{'epsilon': 0.1},100.0,0.6,5789
LinGreedy (incremental),447,0.07721540853342546,27.59768056869507,{'epsilon': 0.25},100.0,0.6,5789
LinGreedy (incremental),398,0.06875107963378822,27.783422470092773,{'epsilon': 0.5},100.0,0.6,5789
LinUCB (incremental),519,0.08965278977370876,4.560868263244629,{'alpha': 0.1},1000.0,0.6,5789
LinUCB (incremental),491,0.08481603040248747,6.564140796661377,{'alpha': 0.5},1000.0,0.6,5789
LinUCB (incremental),435,0.07514251166004492,7.877443790435791,{'alpha': 1},1000.0,0.6,5789
LinUCB (incremental),380,0.0656417343237174,5.340798854827881,{'alpha': 1.5},1000.0,0.6,5789
LinUCB (incremental),338,0.05838659526688547,4.640612840652466,{'alpha': 2},1000.0,0.6,5789
LinGreedy (incremental),520,0.08982553117982381,4.502329349517822,{'epsilon': 0.01},1000.0,0.6,5789
LinGreedy (incremental),507,0.08757989290032821,4.670972585678101,{'epsilon': 0.05},1000.0,0.6,5789
LinGreedy (incremental),489,0.08447054759025739,4.349899530410767,{'epsilon': 0.1},1000.0,0.6,5789
LinGreedy (incremental),459,0.07928830540680601,4.1703782081604,{'epsilon': 0.25},1000.0,0.6,5789
LinGreedy (incremental),382,0.06598721713594749,4.347232103347778,{'epsilon': 0.5},1000.0,0.6,5789
