algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
ALS,824,0.09683864143847691,2.785856246948242,{},,0.9,8509
LinUCB (non_incremental),559,0.06569514631566577,1.3804728984832764,{'alpha': 0.1},,0.9,8509
LinUCB (non_incremental),447,0.052532612527911624,1.4085404872894287,{'alpha': 0.5},,0.9,8509
LinUCB (non_incremental),389,0.045716300387824656,1.3251292705535889,{'alpha': 1},,0.9,8509
LinUCB (non_incremental),340,0.039957691855682216,1.4348537921905518,{'alpha': 1.5},,0.9,8509
LinUCB (non_incremental),304,0.0357268774239041,1.3405089378356934,{'alpha': 2},,0.9,8509
LinGreedy (non_incremental),574,0.06745798566223998,1.195718765258789,{'epsilon': 0.01},,0.9,8509
LinGreedy (non_incremental),574,0.06745798566223998,1.312704086303711,{'epsilon': 0.05},,0.9,8509
LinGreedy (non_incremental),580,0.06816312140086966,1.1925759315490723,{'epsilon': 0.1},,0.9,8509
LinGreedy (non_incremental),535,0.06287460336114702,1.320148229598999,{'epsilon': 0.25},,0.9,8509
LinGreedy (non_incremental),477,0.056058291221060055,1.4090368747711182,{'epsilon': 0.5},,0.9,8509
LinUCB (incremental),646,0.07591961452579622,218.69826006889343,{'alpha': 0.1},10.0,0.9,8509
LinUCB (incremental),594,0.06980843812433893,205.4387538433075,{'alpha': 0.5},10.0,0.9,8509
LinUCB (incremental),516,0.060641673522153015,197.9119770526886,{'alpha': 1},10.0,0.9,8509
LinUCB (incremental),450,0.052885180397226464,242.6640191078186,{'alpha': 1.5},10.0,0.9,8509
LinUCB (incremental),388,0.04559877776471971,226.25130558013916,{'alpha': 2},10.0,0.9,8509
LinGreedy (incremental),661,0.07768245387237042,193.7838213443756,{'epsilon': 0.01},10.0,0.9,8509
LinGreedy (incremental),643,0.07556704665648137,208.26110076904297,{'epsilon': 0.05},10.0,0.9,8509
LinGreedy (incremental),630,0.07403925255611706,213.38944458961487,{'epsilon': 0.1},10.0,0.9,8509
LinGreedy (incremental),610,0.0716888000940181,219.27433896064758,{'epsilon': 0.25},10.0,0.9,8509
LinGreedy (incremental),549,0.0645199200846163,226.5593388080597,{'epsilon': 0.5},10.0,0.9,8509
LinUCB (incremental),629,0.0739217299330121,28.88174295425415,{'alpha': 0.1},100.0,0.9,8509
LinUCB (incremental),569,0.06687037254671524,28.56563925743103,{'alpha': 0.5},100.0,0.9,8509
LinUCB (incremental),493,0.057938653190739216,26.723730325698853,{'alpha': 1},100.0,0.9,8509
LinUCB (incremental),416,0.04888941121165825,26.43744134902954,{'alpha': 1.5},100.0,0.9,8509
LinUCB (incremental),354,0.04160300857915149,28.439288854599,{'alpha': 2},100.0,0.9,8509
LinGreedy (incremental),645,0.07580209190269127,28.243906259536743,{'epsilon': 0.01},100.0,0.9,8509
LinGreedy (incremental),638,0.07497943354095664,25.830495357513428,{'epsilon': 0.05},100.0,0.9,8509
LinGreedy (incremental),615,0.07227641320954284,25.770349979400635,{'epsilon': 0.1},100.0,0.9,8509
LinGreedy (incremental),582,0.06839816664707957,24.87644076347351,{'epsilon': 0.25},100.0,0.9,8509
LinGreedy (incremental),533,0.06263955811493713,24.661008596420288,{'epsilon': 0.5},100.0,0.9,8509
LinUCB (incremental),624,0.07333411681748736,4.457471132278442,{'alpha': 0.1},1000.0,0.9,8509
LinUCB (incremental),546,0.06416735221530144,4.433951139450073,{'alpha': 0.5},1000.0,0.9,8509
LinUCB (incremental),462,0.05429545187448584,4.4512598514556885,{'alpha': 1},1000.0,0.9,8509
LinUCB (incremental),415,0.048771888588553296,4.493727445602417,{'alpha': 1.5},1000.0,0.9,8509
LinUCB (incremental),381,0.04477611940298507,4.404503345489502,{'alpha': 2},1000.0,0.9,8509
LinGreedy (incremental),629,0.0739217299330121,4.544182777404785,{'epsilon': 0.01},1000.0,0.9,8509
LinGreedy (incremental),611,0.07180632271712305,5.114364385604858,{'epsilon': 0.05},1000.0,0.9,8509
LinGreedy (incremental),605,0.07110118697849337,6.505101442337036,{'epsilon': 0.1},1000.0,0.9,8509
LinGreedy (incremental),585,0.06875073451639441,7.552571535110474,{'epsilon': 0.25},1000.0,0.9,8509
LinGreedy (incremental),529,0.062169467622517335,5.842758417129517,{'epsilon': 0.5},1000.0,0.9,8509
