algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings,14,0.0036851803106080546,87.3037941455841,0.0,0.1,3799
LinUCB - BPR embeddings,5,0.0013161358252171624,85.70864129066467,0.0,0.1,3799
LinGreedy - ALS embeddings,114,0.030007896814951304,62.728511095047,0.0,0.1,3799
LinGreedy - BPR embeddings,55,0.014477494077388787,63.48641514778137,0.0,0.1,3799
LinUCB - ALS embeddings,14,0.0036851803106080546,87.42952752113342,0.1,0.1,3799
LinUCB - BPR embeddings,6,0.0015793629902605948,93.31769156455994,0.1,0.1,3799
LinGreedy - ALS embeddings,114,0.030007896814951304,69.79257845878601,0.1,0.1,3799
LinGreedy - BPR embeddings,54,0.014214266912345353,66.27419686317444,0.1,0.1,3799
LinUCB - ALS embeddings,10,0.0026322716504343247,85.31858444213867,0.2,0.1,3799
LinUCB - BPR embeddings,3,0.0007896814951302974,84.54535174369812,0.2,0.1,3799
LinGreedy - ALS embeddings,115,0.030271123979994735,63.28791785240173,0.2,0.1,3799
LinGreedy - BPR embeddings,54,0.014214266912345353,62.2382709980011,0.2,0.1,3799
LinUCB - ALS embeddings,10,0.0026322716504343247,84.57420682907104,0.3,0.1,3799
LinUCB - BPR embeddings,2,0.0005264543300868649,85.80615377426147,0.3,0.1,3799
LinGreedy - ALS embeddings,116,0.030534351145038167,62.75041079521179,0.3,0.1,3799
LinGreedy - BPR embeddings,54,0.014214266912345353,65.02426195144653,0.3,0.1,3799
LinUCB - ALS embeddings,13,0.003421953145564622,84.88800692558289,0.4,0.1,3799
LinUCB - BPR embeddings,0,0.0,84.09503817558289,0.4,0.1,3799
LinGreedy - ALS embeddings,116,0.030534351145038167,62.956364154815674,0.4,0.1,3799
LinGreedy - BPR embeddings,55,0.014477494077388787,62.27320718765259,0.4,0.1,3799
LinUCB - ALS embeddings,11,0.002895498815477757,84.88038158416748,0.5,0.1,3799
LinUCB - BPR embeddings,2,0.0005264543300868649,83.70851802825928,0.5,0.1,3799
LinGreedy - ALS embeddings,116,0.030534351145038167,63.182886838912964,0.5,0.1,3799
LinGreedy - BPR embeddings,55,0.014477494077388787,63.657636880874634,0.5,0.1,3799
LinUCB - ALS embeddings,11,0.002895498815477757,84.25444293022156,0.6,0.1,3799
LinUCB - BPR embeddings,1,0.00026322716504343247,84.480642080307,0.6,0.1,3799
LinGreedy - ALS embeddings,116,0.030534351145038167,63.138885498046875,0.6,0.1,3799
LinGreedy - BPR embeddings,54,0.014214266912345353,67.25045704841614,0.6,0.1,3799
LinUCB - ALS embeddings,11,0.002895498815477757,82.73317527770996,0.7,0.1,3799
LinUCB - BPR embeddings,1,0.00026322716504343247,81.48235583305359,0.7,0.1,3799
LinGreedy - ALS embeddings,116,0.030534351145038167,62.361372232437134,0.7,0.1,3799
LinGreedy - BPR embeddings,52,0.013687812582258489,63.03276586532593,0.7,0.1,3799
LinUCB - ALS embeddings,11,0.002895498815477757,80.74556851387024,0.8,0.1,3799
LinUCB - BPR embeddings,1,0.00026322716504343247,81.0608913898468,0.8,0.1,3799
LinGreedy - ALS embeddings,116,0.030534351145038167,62.57330107688904,0.8,0.1,3799
LinGreedy - BPR embeddings,54,0.014214266912345353,62.537893533706665,0.8,0.1,3799
LinUCB - ALS embeddings,12,0.0031587259805211897,85.9890398979187,0.9,0.1,3799
LinUCB - BPR embeddings,0,0.0,86.40920305252075,0.9,0.1,3799
LinGreedy - ALS embeddings,116,0.030534351145038167,64.28277850151062,0.9,0.1,3799
LinGreedy - BPR embeddings,55,0.014477494077388787,62.981507778167725,0.9,0.1,3799
LinUCB - ALS embeddings,16,0.0042116346406949196,84.05748462677002,1.0,0.1,3799
LinUCB - BPR embeddings,0,0.0,82.45683932304382,1.0,0.1,3799
LinGreedy - ALS embeddings,115,0.030271123979994735,62.51684904098511,1.0,0.1,3799
LinGreedy - BPR embeddings,54,0.014214266912345353,63.1732382774353,1.0,0.1,3799
ALS,87,0.022900763358778626,4.35275673866272,0.0,0.1,3799
BPR,32,0.008423269281389839,4.294180393218994,0.0,0.1,3799
ALS,91,0.023953672018952356,4.614108324050903,0.1,0.1,3799
BPR,31,0.008160042116346407,4.31069278717041,0.1,0.1,3799
ALS,96,0.025269807844169517,4.598063945770264,0.2,0.1,3799
BPR,36,0.009476177941563569,4.29073166847229,0.2,0.1,3799
ALS,95,0.025006580679126086,4.479171514511108,0.3,0.1,3799
BPR,30,0.007896814951302974,4.291306257247925,0.3,0.1,3799
ALS,94,0.024743353514082654,4.471521615982056,0.4,0.1,3799
BPR,43,0.011318768096867597,4.2908124923706055,0.4,0.1,3799
ALS,91,0.023953672018952356,4.376711368560791,0.5,0.1,3799
BPR,39,0.010265859436693867,4.266734600067139,0.5,0.1,3799
ALS,94,0.024743353514082654,4.8662402629852295,0.6,0.1,3799
BPR,42,0.011055540931824164,4.219359874725342,0.6,0.1,3799
ALS,92,0.024216899183995787,5.054677486419678,0.7,0.1,3799
BPR,41,0.010792313766780732,4.275544881820679,0.7,0.1,3799
ALS,96,0.025269807844169517,4.82022500038147,0.8,0.1,3799
BPR,44,0.011581995261911029,4.3226447105407715,0.8,0.1,3799
ALS,97,0.025533035009212952,3.4435603618621826,0.9,0.1,3799
BPR,37,0.009739405106607002,4.267475605010986,0.9,0.1,3799
ALS,96,0.025269807844169517,4.403090953826904,1.0,0.1,3799
BPR,41,0.010792313766780732,4.283211946487427,1.0,0.1,3799
