algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,1124,0.19416134047331146,2.3454694747924805,2,True,0.6,5789
ALS,990,0.1710139920538953,2.318373441696167,2,False,0.6,5789
BPR,668,0.11539125928485058,2.7756547927856445,2,True,0.6,5789
BPR,652,0.11262739678700985,2.6949870586395264,2,False,0.6,5789
ALS,1033,0.1784418725168423,2.5114002227783203,4,True,0.6,5789
ALS,934,0.16134047331145276,2.5121612548828125,4,False,0.6,5789
BPR,719,0.12420107099671791,2.723620891571045,4,True,0.6,5789
BPR,727,0.1255830022456383,2.6565239429473877,4,False,0.6,5789
ALS,1025,0.17705994126792193,2.3332059383392334,8,True,0.6,5789
ALS,910,0.15719467956469166,2.3609156608581543,8,False,0.6,5789
BPR,767,0.1324926584902401,2.8129074573516846,8,True,0.6,5789
BPR,764,0.13197443427189498,2.676326036453247,8,False,0.6,5789
ALS,927,0.16013128346864744,2.3485896587371826,16,True,0.6,5789
ALS,823,0.14216617723268268,2.4718382358551025,16,False,0.6,5789
BPR,757,0.13076524442908966,2.694072961807251,16,True,0.6,5789
BPR,764,0.13197443427189498,2.6955490112304688,16,False,0.6,5789
ALS,776,0.13404733114527553,2.4035050868988037,32,True,0.6,5789
ALS,663,0.11452755225427536,2.4781978130340576,32,False,0.6,5789
BPR,788,0.13612022801865606,2.6820151805877686,32,True,0.6,5789
BPR,794,0.13715667645534635,2.80318284034729,32,False,0.6,5789
ALS,548,0.09466229055104508,3.809461832046509,64,True,0.6,5789
ALS,489,0.08447054759025739,3.8308184146881104,64,False,0.6,5789
BPR,800,0.1381931248920366,4.056615829467773,64,True,0.6,5789
BPR,799,0.13802038348592158,4.50359034538269,64,False,0.6,5789
ALS,308,0.053204353083434096,3.8536996841430664,128,True,0.6,5789
ALS,252,0.04353083434099154,3.9695892333984375,128,False,0.6,5789
BPR,846,0.14613922957332873,4.239033222198486,128,True,0.6,5789
BPR,841,0.1452755225427535,4.063878536224365,128,False,0.6,5789
ALS,595,0.10278113663845223,4.167471647262573,256,True,0.6,5789
ALS,393,0.067887372603213,4.190670728683472,256,False,0.6,5789
BPR,807,0.13940231473484194,4.2211315631866455,256,True,0.6,5789
BPR,806,0.1392295733287269,4.143008708953857,256,False,0.6,5789
ALS,601,0.10381758507514251,4.192572832107544,512,True,0.6,5789
ALS,397,0.06857833822767317,4.274202108383179,512,False,0.6,5789
BPR,772,0.13335636552081534,4.223123073577881,512,True,0.6,5789
BPR,774,0.13370184833304544,4.128629684448242,512,False,0.6,5789
