algorithm,hits,hr,time,factors,test_size,test_interactions
ALS,334,0.2082294264339152,0.8916213512420654,2.0,0.2,1604
LinUCB (non_incremental),186,0.11596009975062344,0.2617228031158447,2.0,0.2,1604
LinGreedy (non_incremental),191,0.11907730673316708,0.29820680618286133,2.0,0.2,1604
LinUCB (incremental),222,0.13840399002493767,42.803388833999634,2.0,0.2,1604
LinGreedy (incremental),220,0.1371571072319202,41.52174615859985,2.0,0.2,1604
ALS,375,0.23379052369077308,0.6839988231658936,4.0,0.2,1604
LinUCB (non_incremental),191,0.11907730673316708,0.2659463882446289,4.0,0.2,1604
LinGreedy (non_incremental),195,0.121571072319202,0.2951788902282715,4.0,0.2,1604
LinUCB (incremental),220,0.1371571072319202,37.49957799911499,4.0,0.2,1604
LinGreedy (incremental),221,0.13778054862842892,37.35958409309387,4.0,0.2,1604
ALS,385,0.24002493765586036,0.7411887645721436,8.0,0.2,1604
LinUCB (non_incremental),158,0.09850374064837905,0.3305673599243164,8.0,0.2,1604
LinGreedy (non_incremental),173,0.10785536159600997,0.27624082565307617,8.0,0.2,1604
LinUCB (incremental),203,0.12655860349127182,33.43105220794678,8.0,0.2,1604
LinGreedy (incremental),204,0.12718204488778054,31.206244468688965,8.0,0.2,1604
ALS,390,0.243142144638404,0.6414871215820312,16.0,0.2,1604
LinUCB (non_incremental),135,0.08416458852867831,0.3047816753387451,16.0,0.2,1604
LinGreedy (non_incremental),142,0.0885286783042394,0.2322998046875,16.0,0.2,1604
LinUCB (incremental),125,0.07793017456359103,35.51380777359009,16.0,0.2,1604
LinGreedy (incremental),126,0.07855361596009976,33.73310327529907,16.0,0.2,1604
ALS,296,0.18453865336658354,0.6056995391845703,32.0,0.2,1604
LinUCB (non_incremental),114,0.07107231920199501,0.3749117851257324,32.0,0.2,1604
LinGreedy (non_incremental),122,0.07605985037406483,0.26862359046936035,32.0,0.2,1604
LinUCB (incremental),81,0.05049875311720698,47.39190173149109,32.0,0.2,1604
LinGreedy (incremental),81,0.05049875311720698,43.25076985359192,32.0,0.2,1604
ALS,179,0.11159600997506235,0.8919289112091064,64.0,0.2,1604
LinUCB (non_incremental),101,0.06296758104738155,0.535163402557373,64.0,0.2,1604
LinGreedy (non_incremental),114,0.07107231920199501,0.27988433837890625,64.0,0.2,1604
LinUCB (incremental),50,0.03117206982543641,66.98491144180298,64.0,0.2,1604
LinGreedy (incremental),57,0.035536159600997506,125.98741412162781,64.0,0.2,1604
ALS,102,0.06359102244389027,0.9792890548706055,128.0,0.2,1604
LinUCB (non_incremental),96,0.059850374064837904,1.1469671726226807,128.0,0.2,1604
LinGreedy (non_incremental),114,0.07107231920199501,0.4657328128814697,128.0,0.2,1604
LinUCB (incremental),59,0.03678304239401496,103.79964566230774,128.0,0.2,1604
LinGreedy (incremental),50,0.03117206982543641,72.54134917259216,128.0,0.2,1604
ALS,185,0.11533665835411472,0.9745745658874512,256.0,0.2,1604
LinUCB (non_incremental),100,0.06234413965087282,1.803386926651001,256.0,0.2,1604
LinGreedy (non_incremental),122,0.07605985037406483,0.5061314105987549,256.0,0.2,1604
LinUCB (incremental),31,0.019326683291770574,234.49489641189575,256.0,0.2,1604
LinGreedy (incremental),29,0.01807980049875312,184.98247146606445,256.0,0.2,1604
ALS,190,0.11845386533665836,1.0212392807006836,512.0,0.2,1604
LinUCB (non_incremental),108,0.06733167082294264,4.479172468185425,512.0,0.2,1604
LinGreedy (non_incremental),127,0.07917705735660847,0.7754309177398682,512.0,0.2,1604
LinUCB (incremental),33,0.02057356608478803,569.3990149497986,512.0,0.2,1604
LinGreedy (incremental),29,0.01807980049875312,522.6780631542206,512.0,0.2,1604
Random,75,0.046758104738154616,0.4074223041534424,,0.2,1604
