algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,451,0.2132387706855792,1.2741732597351074,2,True,0.25,2115
ALS,488,0.23073286052009456,1.7411601543426514,2,False,0.25,2115
BPR,371,0.17541371158392435,2.0997142791748047,2,True,0.25,2115
BPR,364,0.17210401891252955,2.127711296081543,2,False,0.25,2115
ALS,511,0.24160756501182032,1.5688083171844482,4,True,0.25,2115
ALS,515,0.24349881796690306,1.3365824222564697,4,False,0.25,2115
BPR,373,0.17635933806146573,1.2427027225494385,4,True,0.25,2115
BPR,372,0.17588652482269504,1.3018341064453125,4,False,0.25,2115
ALS,537,0.25390070921985813,1.2601203918457031,8,True,0.25,2115
ALS,542,0.25626477541371157,1.2035081386566162,8,False,0.25,2115
BPR,403,0.19054373522458629,1.398888111114502,8,True,0.25,2115
BPR,407,0.19243498817966903,1.58848237991333,8,False,0.25,2115
ALS,501,0.23687943262411348,1.333296298980713,16,True,0.25,2115
ALS,487,0.23026004728132388,1.134068250656128,16,False,0.25,2115
BPR,410,0.1938534278959811,1.3784120082855225,16,True,0.25,2115
BPR,408,0.19290780141843972,1.280181646347046,16,False,0.25,2115
ALS,434,0.20520094562647753,1.2607653141021729,32,True,0.25,2115
ALS,360,0.1702127659574468,1.3570725917816162,32,False,0.25,2115
BPR,434,0.20520094562647753,1.2615208625793457,32,True,0.25,2115
BPR,429,0.2028368794326241,1.3182880878448486,32,False,0.25,2115
ALS,258,0.12198581560283688,2.0083041191101074,64,True,0.25,2115
ALS,235,0.1111111111111111,1.7400426864624023,64,False,0.25,2115
BPR,404,0.19101654846335697,1.8132078647613525,64,True,0.25,2115
BPR,409,0.1933806146572104,2.1004903316497803,64,False,0.25,2115
ALS,127,0.06004728132387707,2.0971789360046387,128,True,0.25,2115
ALS,102,0.04822695035460993,1.9971098899841309,128,False,0.25,2115
BPR,423,0.2,1.7833788394927979,128,True,0.25,2115
BPR,422,0.19952718676122932,1.801283359527588,128,False,0.25,2115
ALS,277,0.1309692671394799,1.7185173034667969,256,True,0.25,2115
ALS,241,0.11394799054373522,1.7238922119140625,256,False,0.25,2115
BPR,412,0.19479905437352246,2.084169626235962,256,True,0.25,2115
BPR,407,0.19243498817966903,2.3220293521881104,256,False,0.25,2115
ALS,277,0.1309692671394799,1.7106733322143555,512,True,0.25,2115
ALS,240,0.11347517730496454,2.114959239959717,512,False,0.25,2115
BPR,412,0.19479905437352246,5.001561880111694,512,True,0.25,2115
BPR,406,0.19196217494089834,2.2089953422546387,512,False,0.25,2115
